Text,new_text,languages,new_text_after_translation,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,scores,compound,sentiment
just randomly passed building god i sure hope this is true. #sciencewillwin üí™,just randomly passed building god i sure hope this is true. #sciencewillwin flexed_biceps,ENGLISH,just randomly passed building god i sure hope this is true. #sciencewillwin flexed_biceps,"[('just', 'RB'), ('randomly', 'RB'), ('passed', 'VBN'), ('building', 'NN'), ('god', 'NN'), ('i', 'NN'), ('sure', 'VBP'), ('hope', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('true', 'JJ'), ('sciencewillwin', 'NN')]","['randomly', 'pass', 'build', 'god', 'sure', 'hope', 'true', 'sciencewillwin']","['randomly', 'pass', 'build', 'sure', 'hope', 'true', 'sciencewillwin']",['sciencewillwin'],"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.8442}",0.8442,positive
1/ another one bites dust braveheart actor dies heart attack after 3rd covid jab ‚Äî michael mitchell passed away 7 days after pfizer booster.,1/ another one bites dust braveheart actor dies heart attack after 3rd covid jab ‚Äî michael mitchell passed away 7 days after pfizer booster.,ENGLISH,1/ another one bites dust braveheart actor dies heart attack after 3rd covid jab ‚Äî michael mitchell passed away 7 days after pfizer booster.,"[('one', 'CD'), ('another', 'DT'), ('one', 'CD'), ('bites', 'VBZ'), ('dust', 'JJ'), ('braveheart', 'NN'), ('actor', 'NN'), ('dies', 'VBZ'), ('heart', 'NN'), ('attack', 'NN'), ('after', 'IN'), ('ord', 'NN'), ('covid', 'NN'), ('jab', 'NN'), ('i', 'NN'), ('michael', 'VBP'), ('mitchell', 'NN'), ('passed', 'VBN'), ('away', 'RB'), ('seven', 'CD'), ('days', 'NNS'), ('after', 'IN'), ('pfizer', 'NN'), ('booster', 'NN')]","['one', 'another', 'one', 'bite', 'dust', 'braveheart', 'actor', 'die', 'heart_attack', 'ord', 'covid', 'jab', 'michael', 'mitchell', 'pass', 'away', 'seven', 'day', 'pfizer', 'booster']","['bite', 'dust', 'braveheart', 'actor', 'die', 'heart_attack', 'ord', 'covid', 'pass', 'day', 'pfizer', 'booster']","['bite', 'dust', 'braveheart', 'actor', 'heart_attack', 'ord', 'covid', 'day', 'pfizer', 'booster']","{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
my whole family took moderna too but my grandpa took pfizer he was fine as well ü§£,my whole family took moderna too but my grandpa took pfizer he was fine as well rolling_on_the_floor_laughing,ENGLISH,my whole family took moderna too but my grandpa took pfizer he was fine as well rolling_on_the_floor_laughing,"[('my', 'PRP$'), ('whole', 'JJ'), ('family', 'NN'), ('took', 'VBD'), ('modern', 'JJ'), ('too', 'RB'), ('but', 'CC'), ('my', 'PRP$'), ('grandpa', 'NN'), ('took', 'VBD'), ('pfizer', 'NN'), ('he', 'PRP'), ('was', 'VBD'), ('fine', 'JJ'), ('as', 'IN'), ('well', 'RB')]","['whole', 'family', 'take', 'modern', 'grandpa', 'take', 'pfizer', 'fine', 'well']","['whole', 'family', 'take', 'modern', 'grandpa', 'take', 'pfizer', 'fine', 'well']","['family', 'grandpa', 'pfizer']","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.5927}",0.5927,positive
pfizer wins thanks playing,pfizer wins thanks playing,ENGLISH,pfizer wins thanks playing,"[('pfizer', 'NN'), ('wins', 'VBZ'), ('thanks', 'NNS'), ('playing', 'VBG')]","['pfizer', 'win', 'thank', 'play']","['pfizer', 'win', 'thank', 'play']","['pfizer', 'thank']","{'neg': 0.0, 'neu': 0.106, 'pos': 0.894, 'compound': 0.8126}",0.8126,positive
"other than lot fatigue after second dose pfizer vaccine, nothing bad report. please encourage whoever you can get vaccine.","other than lot fatigue after second dose pfizer vaccine, nothing bad report. please encourage whoever you can get vaccine.",ENGLISH,"other than lot fatigue after second dose pfizer vaccine, nothing bad report. please encourage whoever you can get vaccine.","[('other', 'JJ'), ('than', 'IN'), ('lot', 'NN'), ('fatigue', 'NN'), ('after', 'IN'), ('second', 'JJ'), ('dose', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('nothing', 'NN'), ('bad', 'JJ'), ('report', 'NN'), ('please', 'NN'), ('encourage', 'VB'), ('whoever', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('vaccine', 'NN')]","['lot', 'fatigue', 'second', 'dose', 'pfizer', 'vaccine', 'nothing', 'bad', 'report', 'please', 'encourage', 'whoever', 'get', 'vaccine']","['lot', 'fatigue', 'second', 'dose', 'pfizer', 'vaccine', 'bad', 'report', 'encourage', 'get', 'vaccine']","['lot', 'fatigue', 'dose', 'pfizer', 'vaccine', 'report', 'vaccine']","{'neg': 0.158, 'neu': 0.597, 'pos': 0.245, 'compound': 0.4919}",0.4919,positive
got my second pfizer april 3rd,got my second pfizer april 3rd,ENGLISH,got my second pfizer april 3rd,"[('got', 'VBD'), ('my', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('april', 'NN'), ('ord', 'NN')]","['get', 'second', 'pfizer', 'april', 'ord']","['get', 'second', 'pfizer']",['pfizer'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"attention fda : isn't it time approve pfizer&amp; moderna ,what are you waiting more people would get vaccinated üíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüíâüò∑","attention fda : isn't it time approve pfizer&amp; moderna ,what are you waiting more people would get vaccinated syringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringeface_with_medical_mask",ENGLISH,"attention fda : isn't it time approve pfizer&amp; moderna ,what are you waiting more people would get vaccinated syringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringesyringeface_with_medical_mask","[('attention', 'NN'), ('fda', 'NN'), ('isn', 'NN'), ('i', 'VB'), ('it', 'PRP'), ('time', 'NN'), ('approve', 'VB'), ('pfizer', 'NN'), ('amp', 'JJ'), ('modern', 'JJ'), ('what', 'WP'), ('are', 'VBP'), ('you', 'PRP'), ('waiting', 'VBG'), ('more', 'JJR'), ('people', 'NNS'), ('would', 'MD'), ('get', 'VB'), ('vaccinated', 'JJ')]","['attention', 'fda', 'time', 'approve', 'pfizer', 'amp', 'modern', 'wait', 'people', 'would', 'get', 'vaccinate']","['attention', 'time', 'approve', 'pfizer', 'amp', 'modern', 'wait', 'people', 'get', 'vaccinate']","['attention', 'time', 'pfizer', 'amp', 'people']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,positive
"wed., 8/4 4:00 5:30 pm we are having pfizer walk-in clinic those 12 older.visit details. #secaucus #vaccine","wed., 8/4 4:00 5Happy_face_smiley0 pm we are having pfizer walk-in clinic those 12 older.visit details. #secaucus #vaccine",ENGLISH,"wed., 8/4 4:00 5Happy_face_smiley0 pm we are having pfizer walk-in clinic those 12 older.visit details. #secaucus #vaccine","[('wed', 'VBN'), ('i', 'JJ'), ('eight', 'CD'), ('four', 'CD'), ('four', 'CD'), ('zero', 'NN'), ('am', 'VBP'), ('we', 'PRP'), ('are', 'VBP'), ('having', 'VBG'), ('pfizer', 'NN'), ('walk', 'NN'), ('in', 'IN'), ('clinic', 'JJ'), ('those', 'DT'), ('twelve', 'JJ'), ('older', 'JJR'), ('visit', 'NN'), ('details', 'NNS'), ('caucus', 'VBP'), ('vaccine', 'NN')]","['we', 'd', 'eight', 'four', 'four', 'zero', 'pfizer', 'walk', 'clinic', 'twelve', 'old', 'visit', 'detail', 'caucus', 'vaccine']","['pfizer', 'walk', 'clinic', 'old', 'visit', 'detail', 'caucus', 'vaccine']","['pfizer', 'walk', 'clinic', 'visit', 'detail', 'caucus', 'vaccine']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
i have get covid vaccine before my surgery but idk which one is best. pfizer or moderna i know it‚Äôs different everyone but i‚Äôm scared üòÖ,i have get covid vaccine before my surgery but idk which one is best. pfizer or moderna i know it‚Äôs different everyone but i‚Äôm scared grinning_face_with_sweat,ENGLISH,i have get covid vaccine before my surgery but idk which one is best. pfizer or moderna i know it‚Äôs different everyone but i‚Äôm scared grinning_face_with_sweat,"[('i', 'NNS'), ('have', 'VBP'), ('get', 'VBN'), ('covid', 'JJ'), ('vaccine', 'NN'), ('before', 'IN'), ('my', 'PRP$'), ('surgery', 'NN'), ('but', 'CC'), ('ink', 'NN'), ('which', 'WDT'), ('one', 'NN'), ('is', 'VBZ'), ('best', 'RBS'), ('pfizer', 'NN'), ('or', 'CC'), ('modern', 'JJ'), ('i', 'NN'), ('know', 'VBP'), ('it', 'PRP'), ('i', 'JJ'), ('i', 'JJ'), ('different', 'JJ'), ('everyone', 'NN'), ('but', 'CC'), ('i', 'NN'), ('i', 'VBP'), ('i', 'NN'), ('scared', 'VBD')]","['get', 'covid', 'vaccine', 'surgery', 'ink', 'one', 'good', 'pfizer', 'modern', 'know', 'different', 'everyone', 'scare']","['get', 'covid', 'vaccine', 'surgery', 'ink', 'good', 'pfizer', 'modern', 'know', 'different', 'scare']","['vaccine', 'surgery', 'ink', 'pfizer']","{'neg': 0.169, 'neu': 0.651, 'pos': 0.18, 'compound': 0.3291}",0.3291,negative
"except cdc states that vaccinated people are passing it each other also. get vaccinated not only am i vaccinated pfizer i wore mask what felt like 24/7 , kept my distance even beyond what i considered safe still ended up st. joes icu november last year.","except cdc states that vaccinated people are passing it each other also. get vaccinated not only am i vaccinated pfizer i wore mask what felt like 24/7 , kept my distance even beyond what i considered safe still ended up st. joes icu november last year.",ENGLISH,"except cdc states that vaccinated people are passing it each other also. get vaccinated not only am i vaccinated pfizer i wore mask what felt like 24/7 , kept my distance even beyond what i considered safe still ended up st. joes icu november last year.","[('except', 'IN'), ('cac', 'JJ'), ('states', 'NNS'), ('that', 'WDT'), ('vaccinated', 'VBD'), ('people', 'NNS'), ('are', 'VBP'), ('passing', 'VBG'), ('it', 'PRP'), ('each', 'DT'), ('other', 'JJ'), ('also', 'RB'), ('get', 'VBP'), ('vaccinated', 'VBN'), ('not', 'RB'), ('only', 'RB'), ('am', 'VBP'), ('i', 'RB'), ('vaccinated', 'JJ'), ('pfizer', 'NN'), ('i', 'NN'), ('wore', 'VBD'), ('mask', 'NN'), ('what', 'WP'), ('felt', 'VBD'), ('like', 'IN'), ('twentyfour', 'NN'), ('seven', 'CD'), ('kept', 'VBD'), ('my', 'PRP$'), ('distance', 'NN'), ('even', 'RB'), ('beyond', 'IN'), ('what', 'WP'), ('i', 'NN'), ('considered', 'VBD'), ('safe', 'JJ'), ('still', 'RB'), ('ended', 'VBN'), ('up', 'RP'), ('it', 'PRP'), ('joes', 'VBZ'), ('icu', 'JJ'), ('november', 'IN'), ('last', 'JJ'), ('year', 'NN')]","['except', 'cac', 'state', 'vaccinate', 'people', 'pass', 'also', 'get', 'vaccinate', 'not', 'vaccinated', 'pfizer', 'wore_mask', 'feel', 'like', 'twentyfour', 'seven', 'keep', 'distance', 'even', 'beyond', 'consider', 'safe', 'still', 'end', 'joe', 'icu', 'november', 'last', 'year']","['state', 'vaccinate', 'people', 'pass', 'also', 'get', 'vaccinate', 'vaccinated', 'pfizer', 'feel', 'twentyfour', 'keep', 'distance', 'even', 'consider', 'safe', 'still', 'end', 'joe', 'icu', 'last', 'year']","['state', 'people', 'pfizer', 'twentyfour', 'distance', 'joe', 'icu', 'year']","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6597}",0.6597,negative
"wife, daughter, son i are fully vaccinated with pfizer. #vaccineswork","wife, daughter, son i are fully vaccinated with pfizer. #vaccineswork",ENGLISH,"wife, daughter, son i are fully vaccinated with pfizer. #vaccineswork","[('wife', 'NN'), ('daughter', 'NN'), ('son', 'NN'), ('i', 'NN'), ('are', 'VBP'), ('fully', 'RB'), ('vaccinated', 'VBN'), ('with', 'IN'), ('pfizer', 'NN'), ('vaccineswork', 'NN')]","['wife', 'daughter', 'son', 'fully', 'vaccinated', 'pfizer', 'vaccineswork']","['son', 'fully', 'vaccinated', 'pfizer', 'vaccineswork']","['son', 'pfizer', 'vaccineswork']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
what about delta variant all vaxxed people. so many vaxxed people are getting covid. before you say anything else i am vaxxed with pfizer because i'm going cruise october.,what about delta variant all vaxxed people. so many vaxxed people are getting covid. before you say anything else i am vaxxed with pfizer because i'm going cruise october.,ENGLISH,what about delta variant all vaxxed people. so many vaxxed people are getting covid. before you say anything else i am vaxxed with pfizer because i'm going cruise october.,"[('what', 'WP'), ('about', 'IN'), ('delta', 'NN'), ('variant', 'VBP'), ('all', 'DT'), ('valued', 'VBN'), ('people', 'NNS'), ('so', 'RB'), ('many', 'JJ'), ('valued', 'VBN'), ('people', 'NNS'), ('are', 'VBP'), ('getting', 'VBG'), ('covid', 'NN'), ('before', 'IN'), ('you', 'PRP'), ('say', 'VBP'), ('anything', 'NN'), ('else', 'RB'), ('i', 'VBZ'), ('am', 'VBP'), ('valued', 'VBN'), ('with', 'IN'), ('pfizer', 'NN'), ('because', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('going', 'VBG'), ('cruise', 'NN'), ('october', 'NN')]","['delta_variant', 'value', 'people', 'many', 'value', 'people', 'get', 'covid', 'say', 'anything', 'else', 'value', 'pfizer', 'go', 'cruise', 'october']","['delta_variant', 'value', 'people', 'many', 'value', 'people', 'get', 'covid', 'say', 'else', 'value', 'pfizer', 'go', 'cruise']","['people', 'people', 'pfizer', 'cruise']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"i‚Äôm not into telling people what they should do. i learned fight against ‚Äúshoulding myself‚Äù others long time ago when i went through counseling. however, i tested positive covid this morning despite getting pfizer vaccine back march/april.","i‚Äôm not into telling people what they should do. i learned fight against ‚Äúshoulding myself‚Äù others long time ago when i went through counseling. however, i tested positive covid this morning despite getting pfizer vaccine back march/april.",ENGLISH,"i‚Äôm not into telling people what they should do. i learned fight against ‚Äúshoulding myself‚Äù others long time ago when i went through counseling. however, i tested positive covid this morning despite getting pfizer vaccine back march/april.","[('i', 'NN'), ('i', 'VBP'), ('i', 'NN'), ('not', 'RB'), ('into', 'IN'), ('telling', 'VBG'), ('people', 'NNS'), ('what', 'WP'), ('they', 'PRP'), ('should', 'MD'), ('do', 'VB'), ('i', 'VB'), ('learned', 'VBD'), ('fight', 'NN'), ('against', 'IN'), ('i', 'JJ'), ('holding', 'VBG'), ('myself', 'PRP'), ('i', 'JJ'), ('others', 'NNS'), ('long', 'JJ'), ('time', 'NN'), ('ago', 'IN'), ('when', 'WRB'), ('i', 'NN'), ('went', 'VBD'), ('through', 'IN'), ('counseling', 'NN'), ('however', 'RB'), ('i', 'RB'), ('tested', 'VBN'), ('positive', 'JJ'), ('covid', 'NN'), ('this', 'DT'), ('morning', 'NN'), ('despite', 'IN'), ('getting', 'VBG'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('back', 'RB'), ('march', 'NN'), ('april', 'NN')]","['not', 'tell', 'people', 'learn', 'fight', 'hold', 'other', 'long', 'time', 'ago', 'go', 'counseling', 'however', 'tested_positive', 'covid', 'morning', 'despite', 'get', 'pfizer', 'vaccine', 'back', 'march', 'april']","['tell', 'people', 'learn', 'fight', 'hold', 'other', 'long', 'time', 'ago', 'go', 'counseling', 'however', 'tested_positive', 'covid', 'morning', 'get', 'pfizer', 'vaccine', 'back']","['people', 'other', 'time', 'counseling', 'morning', 'pfizer', 'vaccine']","{'neg': 0.068, 'neu': 0.838, 'pos': 0.094, 'compound': 0.25}",0.25,negative
pittman confident vaccines will go up aaco when pfizer gets official fda approval fall.,pittman confident vaccines will go up aaco when pfizer gets official fda approval fall.,ENGLISH,pittman confident vaccines will go up aaco when pfizer gets official fda approval fall.,"[('pittman', 'JJ'), ('confident', 'JJ'), ('vaccines', 'NNS'), ('will', 'MD'), ('go', 'VB'), ('up', 'RP'), ('taco', 'RB'), ('when', 'WRB'), ('pfizer', 'NN'), ('gets', 'VBZ'), ('official', 'JJ'), ('fda', 'NN'), ('approval', 'NN'), ('fall', 'NN')]","['pittman', 'confident', 'vaccine', 'go', 'taco', 'pfizer', 'get', 'official', 'fda', 'approval', 'fall']","['pittman', 'confident', 'vaccine', 'go', 'get', 'official', 'fall']","['pittman', 'vaccine', 'fall']","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.743}",0.743,positive
pfizer was down $51.8 billion 2019 $40 billion 2020 2019 earning were down 2018. know facts before you switch chinese substitutes. below is perfect example ‚Äúcherry-picking data‚Äù justify non-justifiable conclusion.,pfizer was down $51.8 billion 2019 $40 billion 2020 2019 earning were down 2018. know facts before you switch chinese substitutes. below is perfect example ‚Äúcherry-picking data‚Äù justify non-justifiable conclusion.,ENGLISH,pfizer was down $51.8 billion 2019 $40 billion 2020 2019 earning were down 2018. know facts before you switch chinese substitutes. below is perfect example ‚Äúcherry-picking data‚Äù justify non-justifiable conclusion.,"[('pfizer', 'NN'), ('was', 'VBD'), ('down', 'RB'), ('eight', 'CD'), ('billion', 'CD'), ('forty', 'JJ'), ('billion', 'CD'), ('earning', 'VBG'), ('were', 'VBD'), ('down', 'RB'), ('know', 'JJ'), ('facts', 'NNS'), ('before', 'IN'), ('you', 'PRP'), ('switch', 'VBP'), ('chinese', 'JJ'), ('substitutes', 'NNS'), ('below', 'IN'), ('is', 'VBZ'), ('perfect', 'JJ'), ('example', 'NN'), ('i', 'NN'), ('cherry', 'VBP'), ('picking', 'VBG'), ('data', 'NNS'), ('i', 'RB'), ('justify', 'VBP'), ('non', 'JJ'), ('justifiable', 'JJ'), ('conclusion', 'NN')]","['pfizer', 'eight', 'billion', 'forty', 'billion', 'earn', 'know', 'fact', 'switch', 'chinese', 'substitute', 'perfect', 'example', 'cherry', 'pick', 'datum', 'justify', 'non', 'justifiable', 'conclusion']","['pfizer', 'earn', 'know', 'fact', 'switch', 'chinese', 'substitute', 'perfect', 'example', 'cherry', 'pick', 'datum', 'justify', 'non', 'justifiable', 'conclusion']","['pfizer', 'fact', 'substitute', 'example', 'cherry', 'datum', 'conclusion']","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.5719}",0.5719,neutral
day 6 &amp; i woke up without any symptoms. runny nose i did have is gone &amp; sore throat only lasted one day. pfizer is that you,day 6 &amp; i woke up without any symptoms. runny nose i did have is gone &amp; sore throat only lasted one day. pfizer is that you,ENGLISH,day 6 &amp; i woke up without any symptoms. runny nose i did have is gone &amp; sore throat only lasted one day. pfizer is that you,"[('day', 'NN'), ('six', 'CD'), ('amp', 'NN'), ('i', 'NN'), ('woke', 'VBD'), ('up', 'RB'), ('without', 'IN'), ('any', 'DT'), ('symptoms', 'NNS'), ('runny', 'VBP'), ('nose', 'JJ'), ('i', 'NN'), ('did', 'VBD'), ('have', 'VB'), ('is', 'VBZ'), ('gone', 'VBN'), ('amp', 'JJ'), ('sore', 'NN'), ('throat', 'NN'), ('only', 'RB'), ('lasted', 'VBD'), ('one', 'CD'), ('day', 'NN'), ('pfizer', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('you', 'PRP')]","['day', 'amp', 'wake', 'without', 'symptom', 'runny_nose', 'go', 'amp', 'sore', 'throat', 'last', 'one', 'day', 'pfizer']","['day', 'amp', 'wake', 'symptom', 'go', 'amp', 'sore', 'throat', 'last', 'day', 'pfizer']","['day', 'amp', 'symptom', 'amp', 'throat', 'day', 'pfizer']","{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3612}",-0.3612,neutral
i'm definitely waiting that booster pfizer michael.,i'm definitely waiting that booster pfizer michael.,ENGLISH,i'm definitely waiting that booster pfizer michael.,"[('i', 'NN'), ('i', 'VBP'), ('definitely', 'RB'), ('waiting', 'VBG'), ('that', 'IN'), ('booster', 'NN'), ('pfizer', 'NN'), ('michael', 'NN')]","['definitely', 'wait', 'booster', 'pfizer', 'michael']","['definitely', 'wait', 'booster', 'pfizer']","['booster', 'pfizer']","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive
"thank gerald. pfizer, 2nd shot was april.","thank gerald. pfizer, 2nd shot was april.",ENGLISH,"thank gerald. pfizer, 2nd shot was april.","[('thank', 'NN'), ('gerald', 'NN'), ('pfizer', 'NN'), ('and', 'CC'), ('shot', 'NN'), ('was', 'VBD'), ('april', 'JJ')]","['thank', 'gerald', 'pfizer', 'shoot', 'april']","['thank', 'pfizer', 'shoot']",['pfizer'],"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,positive
1/2 ok dr. kenworthy. now we have shifted spurious ‚Äúchoice‚Äù argument ‚Äúthe vaccine is too new‚Äù argument. weak sauce both. delivery system pfizer/moderna vaccine has been around long time. i‚Äôd love know what your diet looks like.,1/2 ok dr. kenworthy. now we have shifted spurious ‚Äúchoice‚Äù argument ‚Äúthe vaccine is too new‚Äù argument. weak sauce both. delivery system pfizer/moderna vaccine has been around long time. i‚Äôd love know what your diet looks like.,ENGLISH,1/2 ok dr. kenworthy. now we have shifted spurious ‚Äúchoice‚Äù argument ‚Äúthe vaccine is too new‚Äù argument. weak sauce both. delivery system pfizer/moderna vaccine has been around long time. i‚Äôd love know what your diet looks like.,"[('one', 'CD'), ('two', 'CD'), ('ok', 'JJ'), ('do', 'VBP'), ('unworthy', 'RB'), ('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('shifted', 'VBN'), ('spurious', 'JJ'), ('i', 'NN'), ('choice', 'NN'), ('i', 'NN'), ('argument', 'NN'), ('i', 'VBZ'), ('the', 'DT'), ('vaccine', 'NN'), ('is', 'VBZ'), ('too', 'RB'), ('new', 'JJ'), ('i', 'JJ'), ('argument', 'NN'), ('weak', 'JJ'), ('sauce', 'NN'), ('both', 'DT'), ('delivery', 'NN'), ('system', 'NN'), ('pfizer', 'NN'), ('modern', 'JJ'), ('vaccine', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('around', 'IN'), ('long', 'JJ'), ('time', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('love', 'VBP'), ('know', 'VBP'), ('what', 'WP'), ('your', 'PRP$'), ('diet', 'JJ'), ('looks', 'NNS'), ('like', 'IN')]","['one', 'two', 'unworthy', 'shift', 'spurious', 'choice', 'argument', 'vaccine', 'new', 'argument', 'weak', 'sauce', 'delivery', 'system', 'pfizer', 'modern', 'vaccine', 'around', 'long', 'time', 'love', 'know', 'diet', 'look', 'like']","['unworthy', 'shift', 'spurious', 'choice', 'argument', 'vaccine', 'new', 'argument', 'weak', 'sauce', 'delivery', 'system', 'pfizer', 'modern', 'vaccine', 'long', 'time', 'love', 'know', 'diet', 'look']","['unworthy', 'choice', 'argument', 'argument', 'sauce', 'delivery', 'system', 'pfizer', 'vaccine', 'time', 'love', 'diet']","{'neg': 0.165, 'neu': 0.649, 'pos': 0.186, 'compound': 0.25}",0.25,neutral
because ‚Äúd‚Äù after her name is more powerful than anything coming out pfizer. damned hypocritical bastard democrats.,because ‚Äúd‚Äù after her name is more powerful than anything coming out pfizer. damned hypocritical bastard democrats.,ENGLISH,because ‚Äúd‚Äù after her name is more powerful than anything coming out pfizer. damned hypocritical bastard democrats.,"[('because', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('i', 'NN'), ('after', 'IN'), ('her', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('more', 'RBR'), ('powerful', 'JJ'), ('than', 'IN'), ('anything', 'NN'), ('coming', 'VBG'), ('out', 'RP'), ('pfizer', 'NN'), ('damned', 'JJ'), ('hypocritical', 'JJ'), ('bastard', 'NN'), ('democrats', 'NNS')]","['name', 'powerful', 'anything', 'come', 'pfizer', 'damn', 'hypocritical', 'bastard', 'democrats']","['name', 'powerful', 'come', 'pfizer', 'damn', 'hypocritical']","['name', 'pfizer']","{'neg': 0.361, 'neu': 0.516, 'pos': 0.123, 'compound': -0.719}",-0.719,negative
"i worked pfizer vax site january may this year never really got whole thing people saying that fauci's advice enough. i get he's distinguished doc, but he's not your doc.","i worked pfizer vax site january may this year never really got whole thing people saying that fauci's advice enough. i get he's distinguished doc, but he's not your doc.",ENGLISH,"i worked pfizer vax site january may this year never really got whole thing people saying that fauci's advice enough. i get he's distinguished doc, but he's not your doc.","[('i', 'NN'), ('worked', 'VBD'), ('pfizer', 'JJ'), ('van', 'NN'), ('site', 'NN'), ('january', 'NN'), ('may', 'MD'), ('this', 'DT'), ('year', 'NN'), ('never', 'RB'), ('really', 'RB'), ('got', 'VBD'), ('whole', 'JJ'), ('thing', 'NN'), ('people', 'NNS'), ('saying', 'VBG'), ('that', 'IN'), ('faci', 'NN'), ('i', 'JJ'), ('advice', 'NN'), ('enough', 'NN'), ('i', 'NN'), ('get', 'VBP'), ('he', 'PRP'), ('i', 'VB'), ('distinguished', 'VBN'), ('doc', 'RB'), ('but', 'CC'), ('he', 'PRP'), ('i', 'VBZ'), ('not', 'RB'), ('your', 'PRP$'), ('doc', 'NN')]","['work', 'pfizer', 'van', 'site', 'january', 'may', 'year', 'never', 'really', 'get', 'whole', 'thing', 'people', 'say', 'faci', 'advice', 'enough', 'get', 'distinguished', 'doc', 'not', 'doc']","['work', 'pfizer', 'year', 'never', 'really', 'get', 'whole', 'thing', 'people', 'say', 'faci', 'advice', 'enough', 'get', 'distinguished', 'doc']","['pfizer', 'year', 'thing', 'people', 'faci', 'advice', 'doc']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
