,Text,Translated
166,"@BBCNews 회개와 거룩함 사역회 BUSAN                                            #LatterGloryVigil
https://t.co/MEQnJmoVYh
코로나바이러스를 2015년 
예언한 주님의 두 선지자 모세 엘리야 선지자가 여러분이
주님의 안전한 천국으로 들어가도록 메시지를 전합니다","@Bbcnews repentance and holiness ministry meeting Busan #lattergloryvigil
https://t.co/MEQNJMOVYH
Corona Virus 2015
The two prophets of the Lord, Moses Elijah,
Message to enter the Lord's safe heaven"
167,"@business 회개와 거룩함 사역회 BUSAN                                            #LatterGloryVigil
https://t.co/MEQnJmoVYh
코로나바이러스 예언
메뚜기떼 예언
호주 쥐떼 예언한 
요한계시록 두 증인이
천국 메시지를 전합니다","@Business repentance and holiness ministries Busan #lattergloryvigil
https://t.co/MEQNJMOVYH
Corona Virus Prophecy
Gentler prophecy
Australian mousse prophecy
Two witnesses of Revelation
Power Heaven Message"
168,"@latimes 회개와 거룩함 사역회 BUSAN                                            #LatterGloryVigil
https://t.co/MEQnJmoVYh
시간이 끝났습니다
코로나바이러스는 하나님의
심판입니다
하나님이 예수님이십니다
예수님이 곧 오십니다
회개하십시오","@latimes repentance and holiness ministry Busan #lattergloryvigil
https://t.co/MEQNJMOVYH
Time is over
Corona Virus is God's
The referee
God is Jesus.
Jesus comes soon
Repentance"
169,"@nhk_news 회개와 거룩함 사역회 BUSAN                                            #LatterGloryVigil
https://t.co/MEQnJmoVYh
코로나바이러스는 하나님의 심판입니다
예수님이 하나님이십니다
예수님이 오십니다
지옥을 피하십시오","@nhk_news repentance and hollow ministry meeting Busan #lattergloryvigil
https://t.co/MEQNJMOVYH
Corona Virus is the judgment of God
Jesus is God
Jesus comes
Avoid hell"
170,"@ilo @UN 회개와 거룩함 사역회 BUSAN                                            #HeavenIsKnocking
https://t.co/NgsR5nx1T2
코로나바이러스, 메뚜기 재앙,
호주 쥐떼 ,동일본지진 예언한
주님의 선지자의 방송을 청취하세요","@ilo @un repentance and holiness ministry meeting Busan #heavenisknocking
https://t.co/ngsr5nx1t2
Corona Virus, Grasshopper,
Australian Ratte, East Japan Earthquake Prophecy
Listen to the Lord's prophet's broadcast"
171,"@BeholdIs 회개와 거룩함 사역회 부산
#ShockingWonder
중성자별 충돌과
코로나바이러스와 메뚜기재앙
호주쥐떼 예언 이 네가지만
보아도 엄청난 예언적중입니다
그런데 이것 뿐만 아니라
그 수많은 예언을 하지 않았습니까
주님의 최고 권능의 두 선지자들은
주님의 불칼을 가지고
이 땅을 심판합니다","@Beholdis repentance and hollow ministry
#ShockingWonder
Collision with neutron
Corona Virus and Metal
The Australian parsman prophecy
It's a tremendous prophecy hit.
But this is not only
Did not you have a lot of prophecy
The two prophets of the highest power of the Lord
Have the Lord's Balcal
This land refers to"
172,"회개와 거룩함 사역회 부산
#ShockingWonder

불신자보다 더 악한 이 시대 
크리스천들이 죄 가운데에
주님의 보혈을 더럽히므로
주님은 더욱 분노하셔서
환란때 주기로 하신
코로나바이러스가 지금
온 것입니다
교회들은 모두 회개해야 합니다

공식카페
https://t.co/31kbUiNEIU https://t.co/by0JmOeTW3","Repentance and holiness ministry Busan
#ShockingWonder

More evil than unbelievers
Christians in the sins
Since the Lord's blood is dirty
The Lord is more angry.
When the trouble
Corona Virus is now
I will come
All churches must be repented.

Official cafe
https://t.co/31kbuineiu https://t.co/by0jmoetw3"
173,"@nytimes 회개와 거룩함 사역회 BUSAN                                        #GrandSpecialService
 https://t.co/rdQHsWfRMg
코로나바이러스를 예언한
하나님의 강력한 선지자가
지금 이 땅에 하늘의 칼을
들고 하나님의 명령을 수행하고
계십니다
환란 직전에 휴거가 있습니다
준비하십시오","@nytimes repentance and holiness ministries busan #grandspecialservice
 https://t.co/RDQHSWFRMG
Prophecy of Corona Virus
God's powerful prophet
Now the knife of heaven
Holding God's command
Your life
There is a trigger just before the tribulation.
Prepare"
174,"@FinancialTimes 회개와 거룩함 사역회 BUSAN                                        #GrandSpecialService
 https://t.co/rdQHsWfRMg
코로나바이러스 예언한
주님의 선지자가 휴거와 환란을
예고합니다
환란은 기근 전염병 지진으로
고통받습니다
무조건 안전한 천국으로
들어가라고 말합니다","@Financialtimes Repentation and Holy Ministry Busan #grandspecialService
 https://t.co/RDQHSWFRMG
Corona Virus Prophisted
The prophet of the Lord
Forestry
The tribulation is a prospective epidemic earthquake
Suffering
Unconditional safe heaven
Talking to"
175,"@BBCNews 회개와 거룩함 사역회 BUSAN                                        #GrandSpecialService
 https://t.co/rdQHsWfRMg
코로나바이러스와 호주 쥐떼를
예언한 주님의 두려운 두 선지자의
메시지를 꼭 들어야 합니다","@Bbcnews repentance and hollow ministry meeting Busan #grandspecialService
 https://t.co/RDQHSWFRMG
Corona Virus and Australian Rat
Two of the fearful prophets of the Lord
You must listen to the message."
176,"@NYDailyNews 회개와 거룩함 사역회 BUSAN                                        #GrandSpecialService
 https://t.co/rdQHsWfRMg
코로나바이러스를 예언한
두 선지자는 코로나바이러스로
폐가 완전히 망가진 사람도
완전히 치유시켰습니다","@Nydailynews repentance and holiness ministries Busan #grandspecialService
 https://t.co/RDQHSWFRMG
Prophecy of Corona Virus
The two prophets are corona viruses
People who are completely broken
Fully healed"
177,"@DailyCaller 회개와 거룩함 사역회 BUSAN                                        #GrandSpecialService
 https://t.co/rdQHsWfRMg
코로나바이러스 메뚜기 떼
호주 쥐떼 등 수많은 예언들을
성취하고 수 천명의 불구자를
일으킨 주님의 가장 전능한
두 선지자가 이 시대 있습니다
그들의 음성을 청종해야 합니다","@DailyCaller Repentation and Holy Ministry Busan #grandspecialService
 https://t.co/RDQHSWFRMG
Corona Virus Grasshopper
Numerous prophecies such as Australian mouss
Fulfilling and thlarously
The most older of the Lord
There are two prophets this age
You have to train their voice"
178,"@YahooNewsTopics 회개와 거룩함 사역회 BUSAN                                                 #WeekendGrandVigil
코로나바이러스
메뚜기 재앙
호주 쥐떼 
수도 없이 많은 예언들을
성취하고 주님의 메시지를
전하는 선지자를 통해
하나님되신 예수님을
영접하십시오
https://t.co/fjRMX788Ze","@Yahoonewstopics Repentation and Holy Split Assistant Busan #weekendgrandvigil
covid
Grasshopper disaster
Australian mouse
Many prophecies without
Fulfill the message of the Lord
Through the prophet
Jesus God
Cope
https://t.co/FJRMX788ZE"
179,"@HuffPost 회개와 거룩함 사역회 BUSAN                                                 #WeekendGrandVigil
코로나바이러스를 2015년
예언한 하나님의 대언자
엘리야의 음성에 복종해야
합니다
그는 하나님의 불칼을 지니고
이 세상 파견온 선지자입니다
https://t.co/fjRMX788Ze","@Huffpost Repentation and Holy Ministry Busan #weekendgrandvigil
Corona Virus 2015
The Prophecy of God
I have to submit to the voice of Elijah
do
He has a bark of God.
This is the dispatch of this world.
https://t.co/FJRMX788ZE"
180,"@YahooNewsTopics 회개와 거룩함 사역회 BUSAN                                                 #WeekendGrandVigil
코로나바이러스와 메뚜기재앙을
예언한 선지자가 곧 닥칠
환란을 피하고 휴거로 천국을
들어가라고 말씀을 전하십니다
https://t.co/fjRMX788Ze","@Yahoonewstopics Repentation and Holy Split Assistant Busan #weekendgrandvigil
Corona Virus and Meta
The prophet's prophet comes up soon
I avoid the tribulation,
I will tell you that you go.
https://t.co/FJRMX788ZE"
181,"@dbcprhc1 @jh_repentkorea @jesus140800 @wsKIM5907 주님깨서는 교회의 휴거를 준비하라고 선지자님을 보내셨습니다.
메뚜기떼,코로나바이러스,칠레지진,아이티지진,..더 큰 환난이 올것이라고 하십니다.
#WeekendGrandVigil https://t.co/2dGiKbMWPp","@ dbcprhc1 @jh_repentkorea @ jesus140800 @ wskim5907 Lord cursor sent a prophet to prepare the trust of the church.
The grasshopper, corona virus, Chilean Jijin, Haitijin, and .. It would come to have a bigger tribulation.
#Weekendgrandvigil https://t.co/2dgikbmwpp"
182,"@NBCNews 회개와 거룩함 사역회 BUSAN                                                 #WeekendGrandVigil
코로나바이러스는 하나님의
심판입니다
환란을 피하고 천국으로
들어갈 준비를 할 때입니다
https://t.co/fjRMX788Ze","@NBCNEWS Repentation and Holy Ministry Busan #weekendgrandvigil
Corona Virus is God's
The referee
Avoid tribulation and heaven
It's time to get ready to go.
https://t.co/FJRMX788ZE"
183,"케냐의 부흥입니다.
코로나바이러스의 심판 가운데 회개와 거룩함 사역회는 마지막때 대 부흥을 보고 있습니다.
엄청납니다.
축제의 음성을 들어보세요.
#DireWagesOfSin https://t.co/Ac5liVHahr https://t.co/wzPC5WsvkI","Kenya's revival.
Among the referee of coronavirus, repentance and holiness ministries are seeing the last time.
It is great.
Listen to the speech of the festival.
#Direwagesofsin https://t.co/ac5livhahr https://t.co/WZPC5wsvki"
184,"@DiscussingFilm 회개와 거룩함 사역회 BUSAN                                            #DireWagesOfSin
코로나바이러스와 메뚜기 재앙
호주 쥐떼를 예언한 선지자가
방송중입니다
https://t.co/jCrAnABCgh","@DiscussingFilm Repentation and Holy Ministry BUSAN #DirewagesOfsin
Corona Virus and Grasshopper
The prophet who prophesied the Australian mouse
It is broadcasting.
https://t.co/JCRANABCGH"
185,"@godmancx #DireWagesOfSin

겸손의 왕이신 예수님을 기억하십시오.

10년전 한국교회는 하나님께서 보내신 두증인 선지자를 무시하고 교만의 자리에 앉아 내려다 보았습니다.

회개하십시오!!!
이제 그 선지자의 선포에 따라 코로나바이러스로 교회의 문이 닫혔고 선지자님의 말씀대로 메시아께서 곧 오십니다","@GodMancx #direwagesofsin

Remember the King of humility.

Ten years ago, the Korean Church I ignored the two-granted prophets that God sent, and I tried to sit down on the place of pride.

Repent !!!
Now, according to the proclamation of the prophet, the door of the church was closed with coronavirus, and the Messiah comes soon as the prophet's word"
186,중국 정부는 부인하고 있지만 중국 정보당국 넘버2(국가안전부 부부장) 둥징웨이가 딸 둥양과 함께 우한코로나바이러스 기원 물증을 갖고 미국으로 망명하였다고 한다. https://t.co/twaxeBfzqN,"The Chinese government is denying, but the Chinese Information Authority Number 2 (the National Security Ministry of State Department), and the Route, was as for the United States, with a wuen Corona Virus priesthood with his daughter's daughter. https://t.co/twaxebfzqn"
187,"#GravityOfHell 
⚘선지자님께서 예언한 코로나바이러스
⚘키수무에 임하인 하나님구름방문
⚘이스라엘 리더쉽교체는
⚘메시아께서 곧도착하신다는
     강력한사인입니다✝️","#Gravityofhell
⚘ Corona virus prophesied by the prophet
⚘ Ki Borim Visit God Clouds
⚘ Israeli leadership
⚘ Messiah is coming soon
     It is a powerful person. ✝️"
188,"@guardiannews 회개와 거룩함 사역회 BUSAN                                           #GravityOfHell
 https://t.co/gGYpY3JqC8

코로나바이러스와 메뚜기재앙을
예언한 선지자의 방송입니다","@Guardiannews Repentance and Holy Ministry Busan #gravityofhell
 https://t.co/GGYPY3JQC8

Corona Virus and Meta
It is a broadcast of prophesy prophet"
189,"@100skadh @mihwa1489 @Jesusisholy333 @bible12312 #GrandAuthority

휴거의 안전으로 도피하십시오.

지금 요한계시록 11장의 두증인이신 최고 권능의 선지자께서 전세계를 깨우고 계십니다.
휴거후의 지구는 코로나바이러스로 멈춰버린 전지구와는 비교도 안될만큼 끔찍한 상황으로 들어갈 것입니다.","@ 100skadh @ mihwa1489 @ jesusisholy333 @ bible12312 #grandauthority

Escape with the safety of the role.

Now the prospect of the highest power of the Revelation of Revelation 11, the prophet of the highest power wakes up the world.
The district after the trigger will be a terrible situation as compared to the frontal ports that have stopped by coronavirus."
190,"""아산시가 신종 코로나바이러스 감염증(코로나19)으로 아르바이트(이아 알바) 자리가 줄어든 지역 대학생을 위해 진행한 알바 추첨엔 1000여명이 몰려 27대1의 경쟁률을 기록했다.""
https://t.co/nC5810hPjO","""Ascan City was a new corona virus infectious (Corona 19), a part-time job (Korra 19), the Akbite (AA Alba) has been achieved for a regional college student, and a competition of 27 to 1 (1).""
https://t.co/NC5810HPJO"
191,"@Reuters 회개와 거룩함 사역회 BUSAN                                                 #EternityIsYonder 
지금 코로나바이러스 예언한
주님의 선지자 엘리야가
설교합니다
https://t.co/Ox1u9wZDFJ","@Reuters Repentation and Holy Split Assistance Busan #Eternityisyonder
Now Corona Virus Prophisted
The Lord's prophet Elija
Preaching
https://t.co/OX1U9WZDFJ"
192,"@HolinessAnd @Kyungja10503815 #메시아께서_오십니다 
#한국교회여_회개하라

영혼이 잠자는 자들이
지금 너무나 많습니다
코로나바이러스는 하나님의
심판입니다
회개를 하고 거룩함으로
주님 오심을 준비하십시오
지옥은 반드시 있고
환란은 오고야 말 것입니다
안전한 휴거로 천국을 선택하십시오
https://t.co/2Hn7h8e4NO","@Holinessand @ kyungja1050503815 # Messiah comes
# Korea Church

The souls are sleeping
It's so much now.
Corona Virus is God's
The referee
Repent and holy
Prepare the Lord Nebb
Hell is necessarily
The tribulation will come.
Choose Heaven with a Safe Heaven
https://t.co/2HN7H8E4NO"
193,"@haena111111 #메시아께서_오십니다 
#한국교회여_회개하라

모세와 엘리야 두 선지자는
지난 17년간의 사역동안
최근까지 수천명의 불구자와
암 각종 희귀병 정신병 에이즈
코로나바이러스까지도 치유하였습니다

회개와 거룩함 사역회 
공식 유투브 채널
https://t.co/scgykz9u4H","@ haena111111 # Messiah comes
# Korea Church

Moses and Elijah two prophets
During the past 17 years of ministry
Until recently,
Various rare diseases
Corona Virus has also healed

Repentance and Holy Ministry
Official YouTube Channel
https://t.co/scgykz9u4h"
194,"@mihwa1489 @junghye09 #메시아께서_오십니다 
#한국교회여_회개하라

긍휼과 자비와 사랑이신 하나님 아버지께서는 코로나바이러스 심판중에서 치유의 선포기도로 많은 불구자들과 병자들을 회복시키셨습니다 https://t.co/Y1CmOClCcl","@ mihwa1489 @ junghye09 # Messiah comes
# Korea Church

Heavenly Father, a mercy and a mercy, and Him, a Corona Viral judge, has recovered many disgusters and sicknesses of healing, https://t.co/Y1CMOCLCCL"
195,"@B3IEv7CfcU1l4FK #한국교회여_회개하라
#메시아께서_오십니다

하나님의 심판은 인간이 피할수가 없습니다.
코로나바이러스는 변종으로 더 퍼질것이며 더욱 강력하고 무서운 '종기 바이러스'로 이 땅을 치실거라고 이미 선지자님을 통해 경고하셨습니다.

이 바이러스는 바람,먼지로 전염되며 진물이퍼져 온몸이 이불에","@ B3iev7cfcu1l4fk # Korea Church and repentance
# Messiah comes

God's judgment can not be avoided by humans.
Corona Virus will spread more and more powerful, and it was a powerful and scary 'boil virus' that was already warned through the prophets.

This virus is infected with wind and dust,"
196,"@jNTbnTv7quKz99B #한국교회여_회개하라
#메시아께서_오십니다
 
말라기 4장의 엘리야가 지금
주님의 칼을 들고 코로나바이러스와 메뚜기재앙으로
이 땅을 쳤습니다
엘리야는 모세의 영과 함께
움직이고 있는 두 선지자, 두 증인입니다
https://t.co/2Hn7h8e4NO","@ JNTBNTV7QUKZ99B # Korea Church _ Repent
# Messiah comes
 
Elijah's 4th Elijah now
Corona Virus and Magento Base Co., Ltd.
I hit this land.
Elijah with the spirit of Moses
Two prophets moving, two witnesses
https://t.co/2HN7H8E4NO"
197,@cwZICRFIxl77WNW @dy1843 섬나라 원숭놈들 코로나바이러스  영원히 찰궐바람니다,@ cwzicrfixl77wnw @ dy1843 Island Nara Na Panza Corona Virus Forever
198,"코로나바이러스의 심판가운데 회개와 거룩함 사역회서는 큰 부흥을 일으키고 있습니다.
정말 놀라운 일입니다.
불구자들이 일어나고, 이것을 무시하지 마세요.
큰 부흥입니다.
#GrandVigil
https://t.co/xePqmYvEEq https://t.co/KXULZdm7Pm","Among the referendum of coronavirus, repentance and holiness ministry finals are causing a great revival.
It is really amazing.
Do not let them get up, and do not ignore it.
A big revival.
#Grandvigil
https://t.co/xepqmyveq https://t.co/KXULZDM7PM"
199,"@guardiannews 회개와 거룩함 사역회 BUSAN                                               #GrandVigil
 https://t.co/MFN1J8F94s

코로나바이러스 보다 비교할 수
없는 무시무시한 악성종기바이러스가 환란때
지구를 덥친다고 주님의 두 선지자가 예언하였고
그들은 이미 5년전 코로나바이러스를 예언하였습니다","@Guardiannews Repentation and Holy Split Assistant Busan #grandvigil
 https://t.co/MFN1J8F94S

Compared than corona viruses
When a terrible malignant boil virus is trying
The two prophets of the Lord were prophesied by the earth.
They have already prophesied coronavirus five years ago."
200,"@BBCNews 회개와 거룩함 사역회 BUSAN                                               #GrandVigil
 https://t.co/MFN1J8F94s

지금 당신은 죽음을 생각해봐야
합니다 코로나바이러스로 우리의
삶이 불확실해졌습니다
육신의 죽음은 또 다른 시작이
기다리기 때문입니다","@Bbcnews repentance and hollow ministry meeting Busan #grandvigil
 https://t.co/MFN1J8F94S

Now you have to think about death.
Our Corona Virus Our
Life became uncertain.
The death of the flesh is another beginning
I wait."
201,"@business 회개와 거룩함 사역회 BUSAN                                               #GrandVigil
 https://t.co/MFN1J8F94s

환란은 지금 이미 코로나바이러스로 하나님께서
맛보기를 보여 주십니다
휴거직후 7년 환란은 견디기
힘든 지구의 시간들입니다
이 방송을 들으시고 휴거를 준비하세요","@Business repentance and holiness ministry Busan #grandvigil
 https://t.co/MFN1J8F94S

The tribulation is now a corona virus,
Show taste
After 7 years,
It's the time of tough district.
Please listen to this broadcast and prepare for a ride."
202,"@HolinessAnd @B3IEv7CfcU1l4FK 회개와 거룩함 사역회 BUSAN                                               #GrandVigil
 https://t.co/MFN1J8F94s

코로나바이러스와 메뚜기재앙,
베이루트 폭발, 호주 쥐떼 창궐등
수많은 예언을 성취한 주의
두렵고도 두려운 두 선지자를
받아 들이십시오
그는 주님이 주신 칼을 가지고
있습니다","@Holinessand @ b3iev7cfcu1l4fk Repentation and Holy Split Assistant Busan #grandvigil
 https://t.co/MFN1J8F94S

Corona Virus and Metal Base Arrangement,
Bayrut explosion, Australian mouss
Cautions that fulfilled many prophecies
Two prospects are afraid
Accept
He has a knife given by the Lord
there is"
203,"■[LLNL 보고서] WSJ ""트럼프 행정부 시절 '우한 코로나바이러스'가 中 연구소에서 유출됐다는 주장, 설득력 있다""
펜앤드마이크 2021.06.08 박순종 기자
https://t.co/pqXuClPjYH 

- 美 로랜스리버모어 국립연구소(LLNL)이 지난해 5월 작성한 보고서 내용 소개 https://t.co/87drWSDHiW","■ [LLNL Report] WSJ ""The Trump Administration 'Wuhan Corona Virus' is a persuasion that""
Pendant Microphone 2021.06.08 Park Soon-Jong Reporter
https://t.co/PQXUCLPJYH

- The US Laurance Rerander National Institute (LLNL) introduced the report on May last year in May Https://t.co/87drwsdhiw"
204,"코로나바이러스를 예언한 선지자의 글로벌 온라인수요예배
 2021년6월10일새벽2시
#회개와_거룩함 
#주님의_길을_예비하라
#메시아께서_오신다 
#성령충만 #치유
#휴거 #예언 https://t.co/thvLuVzflC","The prophet of the Prophet who prophesied corona viruses Global online demand worship
 June 10, 202 Dawn 2:00
# Repentation and holy
# Spare the Lord's way
# Messiah comes
# Healing Healing #
# Heavenly # Prophecy https://t.co/thvluvzflc"
205,"@acuhealtcm 울산 중구의 한 병원에 근무하는 50대 의사가 아스트라제네카(AZ) 신종 코로나바이러스 감염증(코로나19) 백신을 맞고 이틀 뒤 사망한 것으로 확인됐다.⬇️

https://t.co/7XM8h4UJfP

[ 출처 = 한국경제 ]","@acuhealtcm The 50s, who worked at a hospital in Jung-gu, Jung-gu, was confirmed that AstraZena (AZ) H1N1 Corona Virus (AZ) H1N1 Corona Virus (Corona 19) is confirmed to have died again.

https://t.co/7XM8H4UJFP

[Source = Korea Economy]"
206,"“새벽 1시건 2시건 상관없어요. 24시간 ‘밀착 마크’해 줍니다. 신종 코로나바이러스 감염증(코로나19)으로 대면 접촉이 안 될 뿐 실제 수업량은 더 늘어나도록 보장합니다.”
 https://t.co/TUhtAtYAlr","""I do not care about 2 hours of dawn 2. 24 hours 'close mark'. In the case of a new corona virus infection (corona 19), the face is not contacted, and the actual class is more enrolled. ""
 https://t.co/tuhtatyalr"
207,특혜가 아닌 형평성을 바라는 외침도 몇 달째 메아리 없이 맴돌고 있다. 신종 코로나바이러스 감염증(코로나19) 시국이 1년 넘게 지속되는 가운데 프로야구장을 둘러싼 정부 지침은 여전히 ‘전시 행정’ 수준이다.,"The cry of the fairness, not the preference, is also playing without a few months. H1N1 Corona Virus Infection (Corona 19) The government guidelines surrounding professional baseball fields are still 'exhibition administration' levels that the state continues for over a year."
208,"오늘 코로나19 현황 지금까지도 업데이트 안시키고 있네..
제주특별자치도 코로나바이러스감염증-19 상황실 
https://t.co/o9S6x2r9cd","Today Corona 19 Status is not updated until now.
Jeju Special Self-Governing Province Corona Viral Self - Conductivity - 12
https://t.co/O9S6X2R9CD"
209,"한미 정상회담을 하루 앞둔 20일(현지시간) 미국 현지에서는 신종 코로나바이러스 감염증(코로나19) 시국에 대면 회담이 이뤄지게 된 것을 두고 ""한국의 전략적 국력이 대단하다""는 평가가 나왔다.
 https://t.co/wWRdhWZsB2","In the United States, the US Local Time (Corona 19) was held in the US Local Time (Corona 19) in the United States.
 https://t.co/wwrdhwzsb2"
210,"@nytimes 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

하나님의 선지자가 직접
코로나바이러스를 밝힙니다","@nytimes repentance and holiness ministry meeting Busan #holywordoflife
 https://t.co/ATQ74JW0FR

The prophet of God directly
Corona Virus"
211,"@CNN 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

절대로 안전할 수가 없습니다
코로나바이러스는 주님의 심판입니다","@Cnn repentance and holiness ministry meeting Busan #holywordoflife
 https://t.co/ATQ74JW0FR

I can never be safe
Corona Virus is the referee of the Lord"
212,"@FT 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

주님의 선지자는 이 땅에
코로나바이러스로 지구를
쳤습니다","@Ft repentance and holiness ministry meeting Busan #holywordoflife
 https://t.co/ATQ74JW0FR

The prophet of the Lord is on this land
As a corona virus,
I hit it."
213,"@nikkei 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

예수님의 보혈로 불구자가 걷고
코로나바이러스도 낫습니다","@nikkei repentance and holiness ministry meeting Busan #holywordoflife
 https://t.co/ATQ74JW0FR

Jesus' blood of Jesus walked
Corona virus is better"
214,"@BBCWorld 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

지구는 어떻게 생겨났을까요?
코로나바이러스는 없어질까요?","@Bbcworld repentance and hollow ministry meeting Busan #Horywordoflife
 https://t.co/ATQ74JW0FR

How did the earth are born?
Is there no corona virus?"
215,"@NBCNews 회개와 거룩함 사역회 BUSAN                                           #HolyWordOfLife
 https://t.co/Atq74JW0fr

코로나바이러스와 에볼라 바이러스를 예언하고 호주 쥐떼 재앙을 예언한 두 선지자들의
메세지는 무엇일까요?","@NBCNEWS Repentation and Holy Ministry BUSAN #HOLYWORDOFLIFE
 https://t.co/ATQ74JW0FR

Two prophets prophesied with coronavirus and Ebola virus
What is the message?"
216,"코로나바이러스의 창궐하는 가운데 이곳은 엄청난 치유의 기름부음이 쏟아지고 있습니다.
보십시오. 지금 이 세대가 죄에서 돌이키고 주님께로 돌아와야 합니다.
초대합니다.👉https://t.co/SFmdmnR3Rn https://t.co/0EbUdvbxsc https://t.co/bihPJa7GUs","In the field of coronavirus, this place is a tremendous healing oil.
See. Now this generation should be turned on in sin and return to the Lord.
Invite .👉ttps: //t.co/sfmdmnr3rn https://t.co/0ebudvbxsc https://t.co/bihpja7gus"
217,"전세계가 코로나바이러스의 창궐한 가운데 회개와거룩함사역회에서는 엄청난 치유의 기름부음이 있습니다.
초대합니다.👉https://t.co/SFmdmnR3Rn https://t.co/PFhHYgUioA https://t.co/GP4OAHk8rQ","The world has a tremendous healing of anointing of a tremendous healing in the center of Corona Virus.
Invite .👉ttps: //t.co/sfmdmnr3rn https://t.co/pfhhyguioa https://t.co/GP4OAHK8RQ"
218,"코로나바이러스의 창궐하는 가운데 회개와거룩함 사역회에서는 수많은 치유가 일어났습니다. 
대 부흥입니다. 할렐루야!!
#ACrippleHasWalked 

https://t.co/SFmdmnR3Rn https://t.co/jGJQxnl8Bb https://t.co/RgK7IevdZp","In the field of coronavirus, a lot of healing has occurred at repentance and aquarium ministries.
Large revival. Hallelujah!!
#Arpplehaswalked

https://t.co/sfmdmnr3rn https://t.co/jgjqxnl8bb https://t.co/rgk7ievdzp"
219,"@ABC 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

왜 하나님을 거부합니까
두 선지자를 이땅에 보냈는데
말입니다
코로나바이러스가 하나님의 심판이라 말해도 믿지 않는것에
하나님은 분노하십니다","@ABC repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Why do you refuse God?
I sent two prophets to this land.
Saying
I do not believe that Corona Virus is the judgment of God.
God is angry."
220,"@thehill 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

코로나바이러스가 수많은 사람들을 죽였습니다
앞으로도 더더 많은 사람들이
죽을 것입니다
두 선지자의 음성은 하나님의
메세지를 전달하기에 충분합니다","@thehill repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Corona Virus killed many people
Even more people in the future
I will die
The voice of the two prophets is God's
Make sure to deliver messages"
221,"@UN_NERV 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

동일본지진과 같은 역대지진 예언 코로나바이러스 예언, 베이루트 폭발을 예언한
두 선지자들의 설교방송입니다","@Un_nerv Repent and Holy Ministry BUSAN #ACRIPPLEHASWALKED
https://t.co/CBIZG3HO6Z

In the same Japanese earthquake, a former Prophecy Corona Virus prophecy, predicted the Bayurut explosion
Two prophets are sermonary."
222,"@business 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

아시아의 부흥이 코로나바이러스
가운데에 뜨겁습니다
지금 참여하십시오","@Business repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Asia's revival is Corona Virus
It's hot in the middle.
Participate now"
223,"@CNN 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

접종후 사망하고 변이바이러스로
백신이 소용없는데 접종을 다 할 수가 없습니다
주님의 심판이라고 일컫는 코로나바이러스를 두 선지자는
2015년에 예언하였습니다","@Cnn repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Death after inoculation,
I can not do the vaccination in vaccination.
The two prophets referred to as the Lord's judgment
I prophesied in 2015."
224,"@asahi 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

코로나바이러스는 회개하라고 
하나님께서 두 선지자들을
통해 내리신 심판입니다","@asahi repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Corona Virus repent
God has two prophets
It is a judgment"
225,"@ABC 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

코로나바이러스 보다도 더더
전염력이 강한 바이러스가
미래에 올 것이라 예언한
주님의 두 선지자를 따르십시오","@ABC repentance and holiness ministry meeting Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Even more than Corona Virus
Virus with a strong infectious force
Prophisted to come in the future
Follow the two prophets of the Lord"
226,"@guardiannews 회개와 거룩함 사역회 BUSAN                                          #ACrippleHasWalked 
https://t.co/CbIZg3Ho6Z

코로나바이러스를 기점으로
지구는 다시 예전으로 돌아
갈 수 없습니다","@Guardiannews repentance and holiness ministry government Busan #Aripplehaswalked
https://t.co/CBIZG3HO6Z

Visiting corona virus
The earth will come back again.
I can not go"
