,Unnamed: 0,Text,new_text,languages,translated,new_languages,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,subjectivity,text_type
438,438,covidsafe is used more than covid results. vaccination status quarantine status maybe worthwhile add,covidsafe is used more than covid results. vaccination status quarantine status maybe worthwhile add,ENGLISH,covidsafe is used more than covid results. vaccination status quarantine status maybe worthwhile add,ENGLISH,"[('covidsafe', 'NN'), ('is', 'VBZ'), ('used', 'VBN'), ('more', 'JJR'), ('than', 'IN'), ('couid', 'NN'), ('results', 'NNS'), ('vaccination', 'NN'), ('status', 'NN'), ('quarantine', 'NN'), ('status', 'NN'), ('maybe', 'RB'), ('worthwhile', 'IN'), ('add', 'VB')]","['covidsafe', 'used', 'couid', 'result', 'vaccination', 'status', 'quarantine', 'status', 'maybe', 'worthwhile', 'add']","['covidsafe', 'use', 'couid', 'result', 'vaccination', 'status', 'quarantine', 'status', 'maybe', 'worthwhile', 'add']","['couid', 'result', 'vaccination', 'status', 'quarantine', 'status', 'add']",0.5,subjective
439,439,list #vaccination centres ranchi district 9th february 2022 wednesday . highlighted entries are special #covid vaccination camps adolescents aged 15 - 18 years.,list #vaccination centres ranchi district 9th february 2022 wednesday . highlighted entries are special #covid vaccination camps adolescents aged 15 - 18 years.,ENGLISH,list #vaccination centres ranchi district 9th february 2022 wednesday . highlighted entries are special #covid vaccination camps adolescents aged 15 - 18 years.,ENGLISH,"[('list', 'NN'), ('vaccination', 'NN'), ('centres', 'VBZ'), ('ranch', 'JJ'), ('district', 'NN'), ('ith', 'NN'), ('february', 'JJ'), ('wednesday', 'NN'), ('highlighted', 'VBN'), ('entries', 'NNS'), ('are', 'VBP'), ('special', 'JJ'), ('couid', 'JJ'), ('vaccination', 'NN'), ('camps', 'NNS'), ('adolescents', 'NNS'), ('aged', 'VBD'), ('fifteen', 'JJ'), ('eighteen', 'JJ'), ('years', 'NNS')]","['list', 'vaccination', 'centre', 'ranch', 'district', 'ith', 'february', 'wednesday', 'highlighted', 'entry', 'special', 'couid', 'vaccination', 'camp', 'adolescent', 'aged', 'fifteen', 'eighteen', 'year']","['list', 'centre', 'highlight', 'special', 'couid', 'vaccination', 'camp', 'adolescent', 'age', 'year']","['list', 'couid', 'vaccination', 'camp', 'adolescent', 'year']",0.4857142857142857,objective
440,440,"dated. 08-02-2022. evening meeting regarding extended covid-19 vaccination campaign was held under chairmanship worthy dc orakzai. officers distt admin, health team reps line deptts participated meeting.","dated. 08-02-2022. evening meeting regarding extended covid-19 vaccination campaign was held under chairmanship worthy dc orakzai. officers distt admin, health team reps line deptts participated meeting.",ENGLISH,"dated. 08-02-2022. evening meeting regarding extended covid-19 vaccination campaign was held under chairmanship worthy dc orakzai. officers distt admin, health team reps line deptts participated meeting.",ENGLISH,"[('dated', 'VBN'), ('eight', 'CD'), ('two', 'CD'), ('evening', 'VBG'), ('meeting', 'NN'), ('regarding', 'VBG'), ('extended', 'VBD'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('campaign', 'NN'), ('was', 'VBD'), ('held', 'VBN'), ('under', 'IN'), ('chairmanship', 'NN'), ('worthy', 'JJ'), ('do', 'VBP'), ('orakzai', 'JJ'), ('officers', 'NNS'), ('dist', 'VBP'), ('admin', 'IN'), ('health', 'NN'), ('team', 'NN'), ('reps', 'NNS'), ('line', 'NN'), ('depths', 'NNS'), ('participated', 'VBD'), ('meeting', 'NN')]","['dated', 'eight', 'two', 'evening', 'meeting', 'regarding', 'extended', 'couid', 'nineteen', 'vaccination', 'campaign', 'held', 'chairmanship', 'worthy', 'orakzai', 'officer', 'dist_admin', 'health', 'team', 'rep', 'line', 'depth', 'participated', 'meeting']","['date', 'evening', 'meeting', 'regard', 'extended', 'couid', 'vaccination', 'campaign', 'hold', 'chairmanship', 'worthy', 'officer', 'health', 'team', 'rep', 'line', 'depth', 'participate', 'meeting']","['evening', 'meeting', 'couid', 'vaccination', 'campaign', 'chairmanship', 'officer', 'health', 'team', 'line', 'depth', 'meeting']",1.0,objective
441,441,*covid - 19 vaccination update - day 389* *india’s cumulative vaccination coverage reaches nearly 171 crore* more than 48 lakh vaccine doses administered today till 7 pm #covid #vaccinations,*covid - 19 vaccination update - day 389* *india’s cumulative vaccination coverage reaches nearly 171 crore* more than 48 lakh vaccine doses administered today till 7 pm #covid #vaccinations,ENGLISH,*covid - 19 vaccination update - day 389* *india’s cumulative vaccination coverage reaches nearly 171 crore* more than 48 lakh vaccine doses administered today till 7 pm #covid #vaccinations,ENGLISH,"[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('update', 'JJ'), ('day', 'NN'), ('india', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('cumulative', 'JJ'), ('vaccination', 'NN'), ('coverage', 'NN'), ('reaches', 'VBZ'), ('nearly', 'RB'), ('crore', 'RB'), ('more', 'JJR'), ('than', 'IN'), ('lakh', 'JJR'), ('vaccine', 'NN'), ('doses', 'NNS'), ('administered', 'VBN'), ('today', 'NN'), ('till', 'VB'), ('seven', 'CD'), ('am', 'VBP'), ('couid', 'JJ'), ('vaccinations', 'NNS')]","['couid', 'nineteen', 'vaccination', 'update', 'day', 'india', 'cumulative', 'vaccination', 'coverage', 'reach', 'nearly', 'crore', 'lakh', 'vaccine', 'dos', 'administered', 'today', 'till', 'seven', 'couid', 'vaccination']","['couid', 'vaccination', 'vaccination', 'coverage', 'reach', 'nearly', 'vaccine', 'dose', 'administer', 'today', 'couid', 'vaccination']","['couid', 'vaccination', 'vaccination', 'coverage', 'vaccine', 'dose', 'today', 'couid', 'vaccination']",0.45,objective
442,442,🛑 covid numbers🛑 #covid19 #pune mask &amp; maintain #cab &amp; #vaccination #maskuppune 964 new cases ⬆️ 11950 active ⬇️ % active cases hosp 6.6% ⬆️ 2075 discharged ⬆️ 200 o2 ⬇️ 62 ventilator ⬇️ 5948 testing ⬇️ ❗️05 deaths❗️ ⬇️,stop_sign covid numbersstop_sign #covid19 #pune mask &amp; maintain #cab &amp; #vaccination #maskuppune 964 new cases up_arrow️ 11950 active down_arrow️ % active cases hosp 6.6% up_arrow️ 2075 discharged up_arrow️ 200 o2 down_arrow️ 62 ventilator down_arrow️ 5948 testing down_arrow️ red_exclamation_mark️05 deathsred_exclamation_mark️ down_arrow️,ENGLISH,stop_sign covid numbersstop_sign #covid19 #pune mask &amp; maintain #cab &amp; #vaccination #maskuppune 964 new cases up_arrow️ 11950 active down_arrow️ % active cases hosp 6.6% up_arrow️ 2075 discharged up_arrow️ 200 o2 down_arrow️ 62 ventilator down_arrow️ 5948 testing down_arrow️ red_exclamation_mark️05 deathsred_exclamation_mark️ down_arrow️,ENGLISH,"[('couid', 'NN'), ('pune', 'NN'), ('mask', 'NN'), ('amp', 'NN'), ('maintain', 'VBP'), ('cab', 'NN'), ('amp', 'JJ'), ('vaccination', 'NN'), ('maskuppune', 'VBD'), ('new', 'JJ'), ('cases', 'NNS'), ('sparrow', 'VBP'), ('i', 'JJ'), ('active', 'JJ'), ('i', 'NN'), ('active', 'JJ'), ('cases', 'NNS'), ('hosp', 'VBP'), ('six', 'CD'), ('six', 'CD'), ('sparrow', 'NN'), ('i', 'NNS'), ('discharged', 'VBD'), ('sparrow', 'NN'), ('i', 'NN'), ('of', 'IN'), ('i', 'JJ'), ('ventilator', 'NN'), ('i', 'IN'), ('testing', 'VBG'), ('i', 'NN'), ('i', 'VBP'), ('five', 'CD'), ('i', 'NN'), ('i', 'NN')]","['couid', 'pune', 'mask', 'amp', 'maintain_cab', 'amp', 'vaccination', 'maskuppune', 'new', 'case', 'sparrow', 'active', 'active_cases', 'hosp', 'sparrow', 'discharged', 'sparrow', 'ventilator', 'testing', 'five']","['couid', 'pune', 'mask', 'vaccination', 'maskuppune', 'new', 'case', 'sparrow', 'active', 'active_case', 'sparrow', 'discharge', 'sparrow', 'ventilator', 'testing']","['couid', 'pune', 'vaccination', 'maskuppune', 'case', 'active_case', 'sparrow', 'sparrow', 'ventilator', 'testing']",0.5515151515151514,objective
443,443,"covid appropriate behaviour, vaccination say no child marriage karavan flagged off by collector, adm, cdmo, dswo, adswo keonjhar","covid appropriate behaviour, vaccination say no child marriage karavan flagged off by collector, adm, cdmo, dswo, adswo keonjhar",ENGLISH,"covid appropriate behaviour, vaccination say no child marriage karavan flagged off by collector, adm, cdmo, dswo, adswo keonjhar",ENGLISH,"[('couid', 'NN'), ('appropriate', 'JJ'), ('behaviour', 'JJ'), ('vaccination', 'NN'), ('say', 'VBP'), ('no', 'DT'), ('child', 'NN'), ('marriage', 'NN'), ('caravan', 'NN'), ('flagged', 'VBD'), ('off', 'RP'), ('by', 'IN'), ('collector', 'NN'), ('adm', 'NN'), ('como', 'NN'), ('do', 'VBP'), ('adso', 'RB'), ('keonjhar', 'VB')]","['couid', 'appropriate_behaviour', 'vaccination', 'say', 'child', 'marriage', 'caravan', 'flagged', 'collector', 'adm', 'como', 'adso', 'keonjhar']","['couid', 'vaccination', 'say', 'child', 'marriage', 'caravan', 'flag']","['couid', 'vaccination', 'child', 'marriage', 'caravan']",0.5,subjective
444,444,keeping mind recent surge covid-19 cases make sure you are properly following sop’s have got your vaccination done . be safe help us win our fight against menace corona virus. 📍covid testing conducted at roots millinum school 1-8 #covid #maskup,keeping mind recent surge covid-19 cases make sure you are properly following sop’s have got your vaccination done . be safe help us win our fight against menace corona virus. round_pushpincovid testing conducted at roots millinum school 1-8 #covid #maskup,ENGLISH,keeping mind recent surge covid-19 cases make sure you are properly following sop’s have got your vaccination done . be safe help us win our fight against menace corona virus. round_pushpincovid testing conducted at roots millinum school 1-8 #covid #maskup,ENGLISH,"[('keeping', 'VBG'), ('mind', 'NN'), ('recent', 'JJ'), ('surge', 'NN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('cases', 'NNS'), ('make', 'VBP'), ('sure', 'JJ'), ('you', 'PRP'), ('are', 'VBP'), ('properly', 'RB'), ('following', 'VBG'), ('sop', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('have', 'VBP'), ('got', 'VBN'), ('your', 'PRP$'), ('vaccination', 'NN'), ('done', 'VBN'), ('be', 'VB'), ('safe', 'JJ'), ('help', 'VB'), ('us', 'PRP'), ('win', 'VB'), ('our', 'PRP$'), ('fight', 'NN'), ('against', 'IN'), ('menace', 'NN'), ('corona', 'NN'), ('virus', 'NN'), ('testing', 'VBG'), ('conducted', 'VBN'), ('at', 'IN'), ('roots', 'NNS'), ('milling', 'VBG'), ('school', 'NN'), ('one', 'CD'), ('eight', 'CD'), ('couid', 'NN'), ('markup', 'NN')]","['keeping_mind', 'recent', 'surge', 'couid', 'nineteen', 'case', 'make_sure', 'properly', 'following', 'sop', 'got', 'vaccination', 'done', 'safe', 'help', 'u', 'win', 'fight', 'menace', 'corona', 'virus', 'testing', 'conducted', 'root', 'milling', 'school', 'one', 'eight', 'couid', 'markup']","['recent', 'surge', 'couid', 'case', 'make_sure', 'properly', 'follow', 'get', 'vaccination', 'do', 'safe', 'help', 'win', 'corona', 'virus', 'testing', 'conduct', 'root', 'mill', 'school', 'couid', 'markup']","['surge', 'couid', 'case', 'vaccination', 'help', 'corona', 'virus', 'testing', 'root', 'school', 'couid', 'markup']",0.42777777777777776,subjective
445,445,covid: karnataka achieves 90% double-dose vaccination,coviTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry karnataka achieves 90% double-dose vaccination,ENGLISH,coviTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry karnataka achieves 90% double-dose vaccination,ENGLISH,"[('karnataka', 'NN'), ('achieves', 'NNS'), ('ninety', 'VBP'), ('double', 'JJ'), ('dose', 'JJ'), ('vaccination', 'NN')]","['karnataka', 'achieves', 'ninety', 'double', 'dose', 'vaccination']","['achieve', 'double', 'dose', 'vaccination']","['dose', 'vaccination']",0.0,objective
449,449,"♦#nashik #district covid 19 vaccination status - 8/2/22 total doses 25,133 area wise status is 1 day before ♦above 18 yrs % 1st dose- 85.62 2nd dose- 58.52 ♦above 15 yrs % 1st dose - 83.56 2nd dose - 55.24","diamond_suit#nashik #district covid 19 vaccination status - 8/2/22 total doses 25,133 area wise status is 1 day before diamond_suitabove 18 yrs % 1st dose- 85.62 2nd dose- 58.52 diamond_suitabove 15 yrs % 1st dose - 83.56 2nd dose - 55.24",ENGLISH,"diamond_suit#nashik #district covid 19 vaccination status - 8/2/22 total doses 25,133 area wise status is 1 day before diamond_suitabove 18 yrs % 1st dose- 85.62 2nd dose- 58.52 diamond_suitabove 15 yrs % 1st dose - 83.56 2nd dose - 55.24",ENGLISH,"[('nashi', 'JJ'), ('district', 'NN'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('status', 'NN'), ('eight', 'CD'), ('two', 'CD'), ('total', 'JJ'), ('doses', 'NNS'), ('twentyfive', 'JJ'), ('area', 'NN'), ('wise', 'NN'), ('status', 'NN'), ('is', 'VBZ'), ('one', 'CD'), ('day', 'NN'), ('before', 'IN'), ('eighteen', 'JJ'), ('yrs', 'NN'), ('est', 'JJS'), ('dose', 'NN'), ('and', 'CC'), ('dose', 'VB'), ('fifteen', 'JJ'), ('yrs', 'NN'), ('est', 'JJS'), ('dose', 'NN'), ('and', 'CC'), ('dose', 'VB'), ('twentyfour', 'NNS')]","['nashi', 'district', 'couid', 'nineteen', 'vaccination', 'status', 'eight', 'two', 'total', 'dos', 'twentyfive', 'area', 'wise', 'status', 'one', 'day', 'eighteen', 'yr', 'est', 'dose', 'dose', 'fifteen', 'yr', 'est', 'dose', 'dose', 'twentyfour']","['vaccination', 'status', 'total', 'dose', 'twentyfive', 'area', 'wise', 'status', 'day', 'dose', 'dose', 'dose', 'twentyfour']","['vaccination', 'status', 'dose', 'area', 'status', 'day']",0.4125,objective
450,450,"health bulletin covid-19 dt. 08.02.2022 ☑️ today vaccination : 2,709 ☑️ total vaccination : 18,23,066 #haryanafightscorona #indiafightscorona #staysafe #covidappropriatebehaviour ☑️together, we can win battle against covid-19","health bulletin covid-19 dt. 08.02.2022 check_box_with_check️ today vaccination : 2,709 check_box_with_check️ total vaccination : 18,23,066 #haryanafightscorona #indiafightscorona #staysafe #covidappropriatebehaviour check_box_with_check️together, we can win battle against covid-19",ENGLISH,"health bulletin covid-19 dt. 08.02.2022 check_box_with_check️ today vaccination : 2,709 check_box_with_check️ total vaccination : 18,23,066 #haryanafightscorona #indiafightscorona #staysafe #covidappropriatebehaviour check_box_with_check️together, we can win battle against covid-19",ENGLISH,"[('health', 'NN'), ('bulletin', 'NN'), ('couid', 'NN'), ('nineteen', 'IN'), ('it', 'PRP'), ('eight', 'CD'), ('two', 'CD'), ('i', 'NN'), ('today', 'NN'), ('vaccination', 'NN'), ('two', 'CD'), ('i', 'JJ'), ('total', 'JJ'), ('vaccination', 'NN'), ('eighteen', 'NN'), ('haryanafightscorona', 'NN'), ('indiafightscorona', 'NN'), ('staysail', 'VBP'), ('covidappropriatebehaviour', 'NN'), ('i', 'NN'), ('together', 'RB'), ('we', 'PRP'), ('can', 'MD'), ('win', 'VB'), ('battle', 'NN'), ('against', 'IN'), ('couid', 'NN'), ('nineteen', 'NN')]","['health', 'bulletin', 'couid', 'nineteen', 'eight', 'two', 'today', 'vaccination', 'two', 'total', 'vaccination', 'eighteen', 'haryanafightscorona', 'indiafightscorona', 'staysail', 'covidappropriatebehaviour', 'together', 'win', 'battle', 'couid', 'nineteen']","['today', 'vaccination', 'total', 'vaccination', 'haryanafightscorona', 'indiafightscorona', 'staysail', 'covidappropriatebehaviour', 'together', 'win', 'battle', 'couid']","['today', 'vaccination', 'vaccination', 'haryanafightscorona', 'indiafightscorona', 'covidappropriatebehaviour', 'battle', 'couid']",0.575,objective
451,451,"it's kinda annoying when i see ppl protesting, anti masks nd now anti vax like their argument is ""this person got vax, but he still got covid"" like do you even understand difference between vaccination treatment i'm glad you're following basic protocols.","it's kinda annoying when i see ppl protesting, anti masks nd now anti vax like their argument is ""this person got vax, but he still got covid"" like do you even understand difference between vaccination treatment i'm glad you're following basic protocols.",ENGLISH,"it is kinda annoying when i see ppl protesting, anti masks nd now anti vax like their argument is ""this person got vax, but he still got covid"" like do you even understand difference between vaccination treatment I am glad you are following basic protocols.",ENGLISH,"[('it', 'PRP'), ('is', 'VBZ'), ('kinda', 'JJ'), ('annoying', 'VBG'), ('when', 'WRB'), ('i', 'NN'), ('see', 'VBP'), ('pal', 'JJ'), ('protesting', 'VBG'), ('anti', 'JJ'), ('masks', 'NNS'), ('and', 'CC'), ('now', 'RB'), ('anti', 'VBP'), ('van', 'NNS'), ('like', 'IN'), ('their', 'PRP$'), ('argument', 'NN'), ('is', 'VBZ'), ('this', 'DT'), ('person', 'NN'), ('got', 'VBD'), ('van', 'RB'), ('but', 'CC'), ('he', 'PRP'), ('still', 'RB'), ('got', 'VBD'), ('couid', 'NNS'), ('like', 'IN'), ('do', 'VBP'), ('you', 'PRP'), ('even', 'RB'), ('understand', 'VBP'), ('difference', 'NN'), ('between', 'IN'), ('vaccination', 'NN'), ('treatment', 'NN'), ('i', 'NN'), ('am', 'VBP'), ('glad', 'NN'), ('you', 'PRP'), ('are', 'VBP'), ('following', 'VBG'), ('basic', 'JJ'), ('protocols', 'NNS')]","['kinda', 'annoying', 'see', 'pal', 'protesting', 'anti', 'mask', 'anti', 'van', 'like', 'argument', 'person', 'got', 'van', 'still', 'got', 'couid', 'like', 'even', 'understand', 'difference', 'vaccination', 'treatment', 'glad', 'following', 'basic', 'protocol']","['annoying', 'see', 'protest', 'anti', 'mask', 'argument', 'person', 'get', 'still', 'get', 'couid', 'even', 'understand', 'difference', 'vaccination', 'treatment', 'glad', 'follow', 'basic', 'protocol']","['mask', 'argument', 'person', 'couid', 'difference', 'vaccination', 'treatment', 'protocol']",0.53125,subjective
455,455,"#covid19: #gujarat administered 1.06 lakh second doses 15-18 years age group, taking total 10.39 lakh. gujarat administered booster doses 38,980 hfw flw, senior citizens, taking total 16.35 lakh #gujaratcoronaupdate #covidvaccination","#covid19: #gujarat administered 1.06 lakh second doses 15-18 years age group, taking total 10.39 lakh. gujarat administered booster doses 38,980 hfw flw, senior citizens, taking total 16.35 lakh #gujaratcoronaupdate #covidvaccination",ENGLISH,"#covid19: #gujarat administered 1.06 lakh second doses 15-18 years age group, taking total 10.39 lakh. gujarat administered booster doses 38,980 hfw flw, senior citizens, taking total 16.35 lakh #gujaratcoronaupdate #covidvaccination",ENGLISH,"[('gujaratis', 'NN'), ('administered', 'VBD'), ('one', 'CD'), ('six', 'CD'), ('lakh', 'JJ'), ('second', 'JJ'), ('doses', 'NNS'), ('fifteen', 'VBP'), ('eighteen', 'JJ'), ('years', 'NNS'), ('age', 'NN'), ('group', 'NN'), ('taking', 'VBG'), ('total', 'JJ'), ('ten', 'JJ'), ('lakh', 'NN'), ('gujaratis', 'NN'), ('administered', 'VBD'), ('booster', 'NN'), ('doses', 'VBZ'), ('how', 'WRB'), ('few', 'JJ'), ('senior', 'JJ'), ('citizens', 'NNS'), ('taking', 'VBG'), ('total', 'JJ'), ('sixteen', 'JJ'), ('lakh', 'NN'), ('gujaratcoronaupdate', 'NN'), ('covidvaccination', 'NN')]","['gujarati', 'administered', 'one', 'lakh', 'second', 'dos', 'fifteen', 'eighteen', 'year', 'age_group', 'taking', 'total', 'ten', 'lakh', 'gujarati', 'administered', 'booster', 'dos', 'senior_citizen', 'taking', 'total', 'sixteen', 'lakh', 'gujaratcoronaupdate', 'covidvaccination']","['administer', 'lakh', 'second', 'dose', 'year', 'take', 'total', 'lakh', 'gujaratis', 'administer', 'booster', 'dose', 'take', 'total', 'covidvaccination']","['lakh', 'year', 'lakh', 'gujaratis', 'booster', 'dose', 'covidvaccination']",0.5,objective
456,456,"#covid19: #gujarat 24 hours vaccinated 39,831 persons first dose 2.47 second. all, 5.15 crore are administered first 4.69 crore second dose covid vaccine #gujaratcoronaupdate #covidvaccination","#covid19: #gujarat 24 hours vaccinated 39,831 persons first dose 2.47 second. all, 5.15 crore are administered first 4.69 crore second dose covid vaccine #gujaratcoronaupdate #covidvaccination",ENGLISH,"#covid19: #gujarat 24 hours vaccinated 39,831 persons first dose 2.47 second. all, 5.15 crore are administered first 4.69 crore second dose covid vaccine #gujaratcoronaupdate #covidvaccination",ENGLISH,"[('gujaratis', 'NN'), ('twentyfour', 'NN'), ('hours', 'NNS'), ('vaccinated', 'VBD'), ('persons', 'NNS'), ('first', 'RB'), ('dose', 'VBP'), ('two', 'CD'), ('second', 'JJ'), ('all', 'DT'), ('five', 'CD'), ('fifteen', 'NNS'), ('crore', 'NN'), ('are', 'VBP'), ('administered', 'VBN'), ('first', 'RB'), ('four', 'CD'), ('crore', 'NN'), ('second', 'JJ'), ('dose', 'JJ'), ('couid', 'NN'), ('vaccine', 'NN'), ('gujaratcoronaupdate', 'NN'), ('covidvaccination', 'NN')]","['gujarati', 'twentyfour_hours', 'vaccinated', 'person', 'first', 'dose', 'two', 'second', 'five', 'fifteen', 'crore', 'administered', 'first', 'four', 'crore', 'second', 'dose', 'couid', 'vaccine', 'gujaratcoronaupdate', 'covidvaccination']","['vaccinated', 'person', 'first', 'dose', 'second', 'crore', 'administer', 'first', 'second', 'dose', 'couid', 'vaccine', 'gujaratcoronaupdate', 'covidvaccination']","['person', 'crore', 'couid', 'vaccine', 'gujaratcoronaupdate', 'covidvaccination']",0.16666666666666666,objective
458,458,this month's period got me watching mustafa babars youtube.... what fuck has covid vaccination done my already excruciating cycle sanity,this month's period got me watching mustafa babars youtube.... what fuck has covid vaccination done my already excruciating cycle sanity,ENGLISH,this month's period got me watching mustafa babars youtube.... what fuck has covid vaccination done my already excruciating cycle sanity,ENGLISH,"[('this', 'DT'), ('month', 'NN'), ('i', 'JJ'), ('period', 'NN'), ('got', 'VBD'), ('me', 'PRP'), ('watching', 'VBG'), ('mustafa', 'JJ'), ('youtube', 'NN'), ('what', 'WP'), ('fuck', 'NN'), ('has', 'VBZ'), ('couid', 'VBN'), ('vaccination', 'NN'), ('done', 'VBN'), ('my', 'PRP$'), ('already', 'RB'), ('excruciating', 'VBG'), ('cycle', 'NN'), ('sanity', 'NN')]","['month', 'period', 'got', 'watching', 'mustafa', 'youtube', 'fuck', 'couid', 'vaccination', 'done', 'already', 'excruciating', 'cycle', 'sanity']","['month', 'get', 'watch', 'vaccination', 'do', 'already', 'excruciate', 'cycle', 'sanity']","['month', 'vaccination', 'cycle', 'sanity']",0.6,subjective
459,459,"promoting vaccination covid appropriate behaviours her slum is her key task. through sessions interactions community she disseminates key information messages involving usage masks, periodic hand washing importance social distancing.","promoting vaccination covid appropriate behaviours her slum is her key task. through sessions interactions community she disseminates key information messages involving usage masks, periodic hand washing importance social distancing.",ENGLISH,"promoting vaccination covid appropriate behaviours her slum is her key task. through sessions interactions community she disseminates key information messages involving usage masks, periodic hand washing importance social distancing.",ENGLISH,"[('promoting', 'VBG'), ('vaccination', 'NN'), ('couid', 'NN'), ('appropriate', 'JJ'), ('behaviours', 'VBZ'), ('her', 'PRP$'), ('slum', 'NN'), ('is', 'VBZ'), ('her', 'PRP$'), ('key', 'JJ'), ('task', 'NN'), ('through', 'IN'), ('sessions', 'NNS'), ('interactions', 'NNS'), ('community', 'NN'), ('she', 'PRP'), ('disseminates', 'VBZ'), ('key', 'JJ'), ('information', 'NN'), ('messages', 'NNS'), ('involving', 'VBG'), ('usage', 'JJ'), ('masks', 'NNS'), ('periodic', 'JJ'), ('hand', 'NN'), ('washing', 'VBG'), ('importance', 'NN'), ('social', 'JJ'), ('distancing', 'NN')]","['promoting', 'vaccination', 'couid', 'appropriate', 'behaviour', 'slum', 'key', 'task', 'session', 'interaction', 'community', 'disseminates', 'key', 'information', 'message', 'involving', 'usage', 'mask', 'periodic', 'hand', 'washing', 'importance', 'social_distancing']","['promote', 'appropriate', 'behaviour', 'slum', 'key', 'task', 'session', 'interaction', 'community', 'disseminate', 'key', 'information', 'message', 'involve', 'usage', 'mask', 'periodic', 'hand', 'washing', 'importance', 'social_distancing']","['behaviour', 'slum', 'task', 'session', 'interaction', 'community', 'disseminate', 'information', 'message', 'usage', 'mask', 'hand', 'washing', 'importance', 'social_distancing']",0.6416666666666667,subjective
460,460,"#covidvaccination, grand exp is going on. wait outcome. we concented be gps exp, why worry now. do you know after exp, exp anims are euthanized/ culled/ rehabilitated, fate is decided by experimenters not by exp anims","#covidvaccination, grand exp is going on. wait outcome. we concented be gps exp, why worry now. do you know after exp, exp anims are euthanized/ culled/ rehabilitated, fate is decided by experimenters not by exp anims",ENGLISH,"#covidvaccination, grand exp is going on. wait outcome. we concented be gps exp, why worry now. do you know after exp, exp anims are euthanized/ culled/ rehabilitated, fate is decided by experimenters not by exp anims",ENGLISH,"[('covidvaccination', 'NN'), ('grand', 'JJ'), ('exp', 'NN'), ('is', 'VBZ'), ('going', 'VBG'), ('on', 'IN'), ('wait', 'JJ'), ('outcome', 'NN'), ('we', 'PRP'), ('consented', 'VBD'), ('be', 'VB'), ('gas', 'NN'), ('exp', 'NN'), ('why', 'WRB'), ('worry', 'NN'), ('now', 'RB'), ('do', 'VBP'), ('you', 'PRP'), ('know', 'VB'), ('after', 'IN'), ('exp', 'JJ'), ('exp', 'NN'), ('aims', 'NNS'), ('are', 'VBP'), ('euthanized', 'VBN'), ('culled', 'JJ'), ('rehabilitated', 'JJ'), ('fate', 'NN'), ('is', 'VBZ'), ('decided', 'VBN'), ('by', 'IN'), ('experimenters', 'NNS'), ('not', 'RB'), ('by', 'IN'), ('exp', 'NN'), ('aims', 'NNS')]","['covidvaccination', 'grand', 'exp', 'going', 'wait', 'outcome', 'consented', 'gas', 'exp', 'worry', 'know', 'exp', 'exp', 'aim', 'euthanized', 'culled', 'rehabilitated', 'fate', 'decided', 'experimenter', 'not', 'exp', 'aim']","['go', 'wait', 'outcome', 'consent', 'gas', 'exp', 'worry', 'know', 'exp', 'exp', 'aim', 'euthanize', 'cull', 'rehabilitate', 'fate', 'decide', 'experimenter', 'exp', 'aim']","['outcome', 'gas', 'exp', 'worry', 'exp', 'exp', 'fate', 'experimenter', 'exp']",1.0,subjective
