Text,pos_tagged_words,words_list,new_text,scores,compound,sentiment_vader
i have my 2 vaccine doses 7 months ago now my antibody is negative. can i get booster third shot,"[('i', 'NN'), ('have', 'VBP'), ('my', 'PRP$'), ('two', 'CD'), ('vaccine', 'NN'), ('doses', 'NNS'), ('seven', 'CD'), ('months', 'NNS'), ('ago', 'RB'), ('now', 'RB'), ('my', 'PRP$'), ('antibody', 'NN'), ('is', 'VBZ'), ('negative', 'JJ'), ('can', 'MD'), ('i', 'VB'), ('get', 'VB'), ('booster', 'JJ'), ('third', 'JJ'), ('shot', 'NN')]","['two', 'vaccine', 'dose', 'seven', 'month', 'ago', 'antibody', 'negative', 'get', 'booster', 'third', 'shot']",two vaccine dose seven month ago antibody negative get booster third shot,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}",-0.5719,positive
no cuz once i test negative im gonna start double masking 😭 when pfizer comes out with that third dose imma be first line get that shir,"[('no', 'DT'), ('cuz', 'NN'), ('once', 'RB'), ('i', 'JJ'), ('test', 'VBP'), ('negative', 'JJ'), ('im', 'NN'), ('gonna', 'JJ'), ('start', 'NN'), ('double', 'JJ'), ('masking', 'NN'), ('when', 'WRB'), ('pfizer', 'NN'), ('comes', 'VBZ'), ('out', 'RP'), ('with', 'IN'), ('that', 'DT'), ('third', 'JJ'), ('dose', 'JJ'), ('imma', 'NN'), ('be', 'VB'), ('first', 'JJ'), ('line', 'NN'), ('get', 'NN'), ('that', 'IN'), ('shir', 'NN')]","['test', 'negative', 'I', 'm', 'going', 'to', 'start', 'double_maske', 'pfizer', 'come', 'third', 'dose', 'imma', 'first', 'line', 'get', 'shir']",test negative I m going to start double_maske pfizer come third dose imma first line get shir,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.7096}",-0.7096,positive
#pfizer por si se preguntaban only en 🙌,"[('pfizer', 'NN'), ('in', 'IN'), ('case', 'NN'), ('you', 'PRP'), ('were', 'VBD'), ('wondering', 'VBG'), ('only', 'RB'), ('in', 'IN')]","['pfizer', 'case', 'wonder']",pfizer case wonder,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
ya u can vaccinate kids u dummy it’s called pfizer,"[('ya', 'RB'), ('u', 'JJ'), ('can', 'MD'), ('vaccinate', 'VB'), ('kids', 'NNS'), ('u', 'JJ'), ('dummy', 'IN'), ('it', 'PRP'), ('i', 'VBZ'), ('i', 'NN'), ('called', 'VBD'), ('pfizer', 'NN')]","['ya', 'u', 'vaccinate', 'kid', 'u', 'dummy', 'call', 'pfizer']",ya u vaccinate kid u dummy call pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,negative
"i’m ready my third pfizer booster shot. whenever you’re ready, cvs…","[('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('ready', 'JJ'), ('my', 'PRP$'), ('third', 'JJ'), ('pfizer', 'NN'), ('booster', 'NN'), ('shot', 'NN'), ('whenever', 'IN'), ('you', 'PRP'), ('i', 'VBP'), ('re', 'VBP'), ('ready', 'JJ'), ('cos', 'NN'), ('i', 'NN')]","['ready', 'third', 'pfizer', 'booster', 'shoot', 'whenever', 'ready', 'cos']",ready third pfizer booster shoot whenever ready cos,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.6124,positive
"listo, prueba superada . segunda dosis pfizer 👍🏻🙏🙈❤️❤️❤️❤️ en gimnasio de usos multiples udg","[('ok', 'JJ'), ('test', 'NN'), ('passed', 'VBD'), ('second', 'JJ'), ('dose', 'JJ'), ('pfizer', 'NN'), ('no', 'DT'), ('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('i', 'VBP'), ('at', 'IN'), ('dug', 'NN'), ('multipurpose', 'NN'), ('gym', 'NN')]","['test', 'pass', 'second', 'dose', 'pfizer', 'dig', 'multipurpose']",test pass second dose pfizer dig multipurpose,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"va appt this afternoon. going ask about pfizer booster yep, i've had vaccinations . #floridacovid","[('va', 'NN'), ('app', 'NN'), ('this', 'DT'), ('afternoon', 'NN'), ('going', 'VBG'), ('ask', 'NN'), ('about', 'IN'), ('pfizer', 'NN'), ('booster', 'NN'), ('yep', 'NN'), ('i', 'NN'), ('ve', 'NN'), ('had', 'VBD'), ('vaccinations', 'NNS'), ('floridacovid', 'NN')]","['va', 'app', 'afternoon', 'go', 'ask', 'pfizer', 'booster', 'yep', 'vaccination', 'floridacovid']",va app afternoon go ask pfizer booster yep vaccination floridacovid,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.296}",0.296,positive
"moderna news about #deltavariant &amp; needing booster shot helped me decide opt out in-person conferences next month. i have pfizer, but i can’t imagine there’s much difference outcomes. i’m really sad about this.","[('modern', 'JJ'), ('news', 'NN'), ('about', 'IN'), ('deltavariant', 'JJ'), ('amp', 'NN'), ('needing', 'VBG'), ('booster', 'NN'), ('shot', 'NN'), ('helped', 'VBD'), ('me', 'PRP'), ('decide', 'VB'), ('opt', 'PRP'), ('out', 'RP'), ('in', 'IN'), ('person', 'NN'), ('conferences', 'NNS'), ('next', 'IN'), ('month', 'NN'), ('i', 'NNS'), ('have', 'VBP'), ('pfizer', 'VBN'), ('but', 'CC'), ('i', 'JJ'), ('can', 'MD'), ('i', 'VB'), ('i', 'JJ'), ('imagine', 'VBP'), ('there', 'EX'), ('i', 'VB'), ('i', 'VBP'), ('much', 'JJ'), ('difference', 'NN'), ('outcomes', 'IN'), ('i', 'JJ'), ('i', 'VBP'), ('i', 'VBP'), ('really', 'RB'), ('sad', 'JJ'), ('about', 'IN'), ('this', 'DT')]","['modern', 'news', 'deltavariant', 'amp', 'need', 'booster', 'shot', 'help', 'decide', 'opt', 'person', 'conference', 'next', 'month', 'pfizer', 'imagine', 'much', 'difference', 'outcome', 'really', 'sad']",modern news deltavariant amp need booster shot help decide opt person conference next month pfizer imagine much difference outcome really sad,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.6798}",-0.6798,negative
we are offering moderna pfizer-biontech covid-19 vaccines every friday 10-5:00. call or come by make appointment or if you have any questions. we truly do strive provide quality care give you attention you deserve. transfer today see difference,"[('we', 'PRP'), ('are', 'VBP'), ('offering', 'VBG'), ('modern', 'JJ'), ('pfizer', 'NN'), ('biotech', 'NN'), ('covid', 'NN'), ('nineteen', 'JJ'), ('vaccines', 'NNS'), ('every', 'DT'), ('friday', 'NN'), ('ten', 'VBZ'), ('five', 'CD'), ('zero', 'NN'), ('call', 'NN'), ('or', 'CC'), ('come', 'VBN'), ('by', 'IN'), ('make', 'JJ'), ('appointment', 'NN'), ('or', 'CC'), ('if', 'IN'), ('you', 'PRP'), ('have', 'VBP'), ('any', 'DT'), ('questions', 'NNS'), ('we', 'PRP'), ('truly', 'RB'), ('do', 'VBP'), ('strive', 'JJ'), ('provide', 'VB'), ('quality', 'NN'), ('care', 'NN'), ('give', 'VBP'), ('you', 'PRP'), ('attention', 'NN'), ('you', 'PRP'), ('deserve', 'VBP'), ('transfer', 'VB'), ('today', 'NN'), ('see', 'VBP'), ('difference', 'NN')]","['offer', 'modern', 'pfizer', 'biotech', 'covid', 'nineteen', 'vaccine', 'every', 'friday', 'ten', 'five', 'zero', 'call', 'come', 'make', 'appointment', 'question', 'truly', 'strive', 'provide', 'quality', 'care', 'give', 'attention', 'deserve', 'transfer', 'today', 'see', 'difference']",offer modern pfizer biotech covid nineteen vaccine every friday ten five zero call come make appointment question truly strive provide quality care give attention deserve transfer today see difference,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.7269}",0.7269,positive
"would you feel safer if they were vaccinated i’m hoping fda comes through as reported approves pfizer vaccine by beginning september. our 12yo is vaxxed, but eagerly awaiting chance do same our 7yo.","[('would', 'MD'), ('you', 'PRP'), ('feel', 'VB'), ('safer', 'JJR'), ('if', 'IN'), ('they', 'PRP'), ('were', 'VBD'), ('vaccinated', 'VBN'), ('i', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('hoping', 'VBG'), ('fda', 'NN'), ('comes', 'VBZ'), ('through', 'RP'), ('as', 'IN'), ('reported', 'VBN'), ('approves', 'NNS'), ('pfizer', 'VBP'), ('vaccine', 'NN'), ('by', 'IN'), ('beginning', 'VBG'), ('september', 'VB'), ('our', 'PRP$'), ('yo', 'NN'), ('is', 'VBZ'), ('valued', 'VBN'), ('but', 'CC'), ('eagerly', 'RB'), ('awaiting', 'VBG'), ('chance', 'NN'), ('do', 'VBP'), ('same', 'JJ'), ('our', 'PRP$'), ('yo', 'NN')]","['would', 'feel', 'safe', 'vaccinated', 'hope', 'fda', 'come', 'report', 'approve', 'pfizer', 'vaccine', 'begin', 'september', 'yo', 'value', 'eagerly', 'await', 'chance', 'yo']",would feel safe vaccinated hope fda come report approve pfizer vaccine begin september yo value eagerly await chance yo,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.8608}",0.8608,positive
i just bought pfizer stock... please do 😁,"[('i', 'NN'), ('just', 'RB'), ('bought', 'VBD'), ('pfizer', 'JJ'), ('stock', 'NN'), ('please', 'NN'), ('do', 'VB')]","['pfizer', 'stock', 'please']",pfizer stock please,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,positive
didn't have any side effects with 1st or 2nd pfizer jab 💉,"[('didn', 'NN'), ('i', 'NNS'), ('have', 'VBP'), ('any', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('with', 'IN'), ('est', 'NN'), ('or', 'CC'), ('and', 'CC'), ('pfizer', 'JJ'), ('jab', 'NN'), ('syringe', 'NN')]","['side_effect', 'est', 'pfizer', 'jab', 'syringe']",side_effect est pfizer jab syringe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
y’all im officially pfizer princess 👸🏽✨,"[('y', 'NN'), ('i', 'NN'), ('all', 'DT'), ('im', 'VBP'), ('officially', 'RB'), ('pfizer', 'JJ'), ('princess', 'NN')]","['I', 'm', 'officially', 'pfizer', 'princess']",I m officially pfizer princess,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"covid-19 vaccinations now available at clinic every friday 10am-5pm. no appointment necessary anyone 12+ who needs 1st or 2nd dose, please drop in. pfizer available. need covid-19 test 2pm-5pm don’t hesitate walk-ins welcome📍14111 hwy 50, bolton.","[('covid', 'NN'), ('nineteen', 'JJ'), ('vaccinations', 'NNS'), ('now', 'RB'), ('available', 'JJ'), ('at', 'IN'), ('clinic', 'JJ'), ('every', 'DT'), ('friday', 'NN'), ('am', 'VBP'), ('up', 'RP'), ('no', 'DT'), ('appointment', 'NN'), ('necessary', 'JJ'), ('anyone', 'NN'), ('twelve', 'NN'), ('who', 'WP'), ('needs', 'VBZ'), ('est', 'JJS'), ('or', 'CC'), ('and', 'CC'), ('dose', 'JJ'), ('please', 'NN'), ('drop', 'NN'), ('in', 'IN'), ('pfizer', 'NN'), ('available', 'JJ'), ('need', 'NN'), ('covid', 'NN'), ('nineteen', 'JJ'), ('test', 'NN'), ('up', 'RP'), ('up', 'IN'), ('don', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('hesitate', 'VBP'), ('walk', 'NN'), ('ins', 'NNS'), ('why', 'WRB'), ('fifty', 'VBP'), ('bolton', 'NN')]","['covid', 'nineteen', 'vaccination', 'available', 'clinic', 'every', 'friday', 'appointment', 'necessary', 'anyone', 'twelve', 'need', 'est', 'dose', 'please', 'drop', 'pfizer', 'available', 'need', 'covid', 'nineteen', 'test', 'hesitate', 'walk_in', 'fifty', 'bolton']",covid nineteen vaccination available clinic every friday appointment necessary anyone twelve need est dose please drop pfizer available need covid nineteen test hesitate walk_in fifty bolton,"{'neg': 0.157, 'neu': 0.786, 'pos': 0.057, 'compound': -0.4767}",-0.4767,neutral
"ayer me traía en la lona, hoy amanecí como nuevo 💪🏼 y vacunado.","[('yesterday', 'NN'), ('he', 'PRP'), ('brought', 'VBD'), ('me', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('canvas', 'NN'), ('today', 'NN'), ('i', 'VBP'), ('woke', 'VBD'), ('up', 'RP'), ('like', 'IN'), ('new', 'JJ'), ('and', 'CC'), ('vaccinated', 'JJ')]","['yesterday', 'bring', 'canvas', 'today', 'wake', 'like', 'new', 'vaccinated']",yesterday bring canvas today wake like new vaccinated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"alright, where’s 3rd pfizer shot need dat bc these variants that are coming out r not it","[('alright', 'NN'), ('where', 'WRB'), ('i', 'NN'), ('i', 'VBP'), ('ord', 'VBP'), ('pfizer', 'NN'), ('shot', 'NN'), ('need', 'VBP'), ('dat', 'RB'), ('be', 'VB'), ('these', 'DT'), ('variants', 'NNS'), ('that', 'WDT'), ('are', 'VBP'), ('coming', 'VBG'), ('out', 'RP'), ('i', 'RB'), ('not', 'RB'), ('it', 'PRP')]","['alright', 'ord', 'pfizer', 'shoot', 'need', 'dat', 'variant', 'come', 'not']",alright ord pfizer shoot need dat variant come not,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.25}",0.25,positive
"buenos días me aplique la vacuna pfizer el 25 de mayo la 1a dosis,para la 2a dosis no pude asistir por qué me operaron y ahora no localizo donde me puedo aplicar la pfizer,me pueden orientar","[('good', 'JJ'), ('morning', 'NN'), ('i', 'NN'), ('applied', 'VBD'), ('the', 'DT'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('on', 'IN'), ('may', 'MD'), ('twentyfive', 'VB'), ('the', 'DT'), ('est', 'JJS'), ('dose', 'NN'), ('for', 'IN'), ('the', 'DT'), ('and', 'CC'), ('dose', 'VB'), ('i', 'NNS'), ('could', 'MD'), ('not', 'RB'), ('attend', 'VB'), ('because', 'IN'), ('they', 'PRP'), ('operated', 'VBD'), ('on', 'IN'), ('me', 'PRP'), ('and', 'CC'), ('now', 'RB'), ('i', 'VBZ'), ('cannot', 'NN'), ('locate', 'NN'), ('where', 'WRB'), ('i', 'NN'), ('can', 'MD'), ('apply', 'VB'), ('the', 'DT'), ('pfizer', 'NN'), ('can', 'MD'), ('you', 'PRP'), ('guide', 'VB'), ('me', 'PRP')]","['good', 'morning', 'apply', 'pfizer', 'vaccine', 'may', 'twentyfive', 'est', 'dose', 'dose', 'could', 'not', 'attend', 'operate', 'can', 'not', 'locate', 'apply', 'pfizer', 'guide']",good morning apply pfizer vaccine may twentyfive est dose dose could not attend operate can not locate apply pfizer guide,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
"my daughter brother, week felt they were dying, after 2nd dose. i'm not sure if my brother was pfizer or not.","[('my', 'PRP$'), ('daughter', 'NN'), ('brother', 'NN'), ('week', 'NN'), ('felt', 'VBD'), ('they', 'PRP'), ('were', 'VBD'), ('dying', 'VBG'), ('after', 'IN'), ('and', 'CC'), ('dose', 'VB'), ('i', 'NN'), ('i', 'VBP'), ('not', 'RB'), ('sure', 'JJ'), ('if', 'IN'), ('my', 'PRP$'), ('brother', 'NN'), ('was', 'VBD'), ('pfizer', 'NN'), ('or', 'CC'), ('not', 'RB')]","['daughter', 'brother', 'week', 'feel', 'die', 'dose', 'not', 'sure', 'brother', 'pfizer', 'not']",daughter brother week feel die dose not sure brother pfizer not,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.2411}",-0.2411,negative
this. but pfizer. lfg,"[('this', 'DT'), ('but', 'CC'), ('pfizer', 'VBZ'), ('leg', 'NN')]","['pfizer', 'leg']",pfizer leg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
yo nunca dije que me endeudé solo que estoy gastando más de lo presupuestado los haters en ig mis cielos sufran kukas congurbanenses #varadosenelexterior tengo #pfizer y vos pichín,"[('i', 'NN'), ('never', 'RB'), ('said', 'VBD'), ('that', 'IN'), ('i', 'NN'), ('got', 'VBD'), ('into', 'IN'), ('debt', 'NN'), ('only', 'RB'), ('that', 'IN'), ('i', 'NN'), ('am', 'VBP'), ('spending', 'VBG'), ('more', 'JJR'), ('than', 'IN'), ('budgeted', 'VBN'), ('the', 'DT'), ('haters', 'NNS'), ('on', 'IN'), ('ig', 'JJ'), ('my', 'PRP$'), ('skies', 'NNS'), ('suffer', 'VBP'), ('lukas', 'NN'), ('from', 'IN'), ('congurbanenses', 'NNS'), ('varadoseneexterior', 'VBP'), ('i', 'NNS'), ('have', 'VBP'), ('pfizer', 'VBN'), ('and', 'CC'), ('you', 'PRP'), ('lichen', 'VBP')]","['never', 'say', 'get', 'debt', 'spending', 'budget', 'hater', 'ig', 'suffer', 'lukas', 'congurbanense', 'varadoseneexterior', 'pfizer', 'lichen']",never say get debt spending budget hater ig suffer lukas congurbanense varadoseneexterior pfizer lichen,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.4939}",-0.4939,negative
my presiding bishop asks us get vaccinated love our neighbors as ourselves❣️#igotmine march &amp; april pfizer,"[('my', 'PRP$'), ('presiding', 'VBG'), ('bishop', 'NN'), ('asks', 'VBZ'), ('us', 'PRP'), ('get', 'VB'), ('vaccinated', 'VBN'), ('love', 'IN'), ('our', 'PRP$'), ('neighbors', 'NNS'), ('as', 'IN'), ('i', 'JJ'), ('igotmine', 'VBP'), ('march', 'NN'), ('amp', 'NN'), ('april', 'NN'), ('pfizer', 'NN')]","['preside', 'bishop', 'ask', 'we', 'get', 'vaccinated', 'love', 'neighbor', 'igotmine', 'march', 'amp', 'april', 'pfizer']",preside bishop ask we get vaccinated love neighbor igotmine march amp april pfizer,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",0.6369,positive
pfizer now moderna,"[('pfizer', 'NN'), ('now', 'RB'), ('modern', 'JJ')]","['pfizer', 'modern']",pfizer modern,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
okay but like where can i get this pfizer booster before i keep my black ass house unless it’s work related everyone is tested another year doe,"[('okay', 'RB'), ('but', 'CC'), ('like', 'IN'), ('where', 'WRB'), ('can', 'MD'), ('i', 'VB'), ('get', 'VB'), ('this', 'DT'), ('pfizer', 'NN'), ('booster', 'NN'), ('before', 'IN'), ('i', 'JJ'), ('keep', 'VBP'), ('my', 'PRP$'), ('black', 'JJ'), ('ass', 'NN'), ('house', 'NN'), ('unless', 'IN'), ('it', 'PRP'), ('i', 'VBZ'), ('i', 'JJ'), ('work', 'NN'), ('related', 'VBN'), ('everyone', 'NN'), ('is', 'VBZ'), ('tested', 'VBN'), ('another', 'DT'), ('year', 'NN'), ('doe', 'NN')]","['okay', 'like', 'get', 'pfizer', 'booster', 'keep', 'black', 'ass', 'house', 'unless', 'work', 'relate', 'everyone', 'test', 'another', 'year', 'doe']",okay like get pfizer booster keep black ass house unless work relate everyone test another year doe,"{'neg': 0.151, 'neu': 0.7, 'pos': 0.149, 'compound': -0.2617}",-0.2617,negative
"after pfizer he got chills shakes. this sounds like anxiety attack. i think this is what happened clapton, who complained about weird scary side effects that passed week . it’d be interesting someone study psychosomatic side effects.","[('after', 'IN'), ('pfizer', 'NN'), ('he', 'PRP'), ('got', 'VBD'), ('chills', 'NNS'), ('shakes', 'VBZ'), ('this', 'DT'), ('sounds', 'VBZ'), ('like', 'IN'), ('anxiety', 'NN'), ('attack', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('this', 'DT'), ('is', 'VBZ'), ('what', 'WP'), ('happened', 'VBD'), ('clapton', 'NN'), ('who', 'WP'), ('complained', 'VBD'), ('about', 'IN'), ('weird', 'JJ'), ('scary', 'JJ'), ('side', 'NN'), ('effects', 'NNS'), ('that', 'WDT'), ('passed', 'VBD'), ('week', 'NN'), ('it', 'PRP'), ('i', 'VBZ'), ('i', 'JJ'), ('be', 'VB'), ('interesting', 'VBG'), ('someone', 'NN'), ('study', 'NN'), ('psychosomatic', 'JJ'), ('side', 'NN'), ('effects', 'NNS')]","['pfizer', 'get', 'chill', 'shake', 'sound', 'like', 'anxiety', 'attack', 'think', 'happen', 'clapton', 'complain', 'weird', 'scary', 'side_effect', 'pass', 'week', 'interesting', 'someone', 'study', 'psychosomatic', 'side_effect']",pfizer get chill shake sound like anxiety attack think happen clapton complain weird scary side_effect pass week interesting someone study psychosomatic side_effect,"{'neg': 0.272, 'neu': 0.614, 'pos': 0.114, 'compound': -0.7351}",-0.7351,negative
cautiously watching vaccine pr war play out as pfizer races towards full fda approval while hot topics like covid variants &amp; boosters start bubble up capture attn. now more than ever we need media not chase next shinny object &amp; focus big picture.,"[('cautiously', 'RB'), ('watching', 'VBG'), ('vaccine', 'NN'), ('or', 'CC'), ('war', 'NN'), ('play', 'VBP'), ('out', 'RP'), ('as', 'IN'), ('pfizer', 'NN'), ('races', 'NNS'), ('towards', 'VBP'), ('full', 'JJ'), ('fda', 'NN'), ('approval', 'NN'), ('while', 'IN'), ('hot', 'JJ'), ('topics', 'NNS'), ('like', 'IN'), ('covid', 'NN'), ('variants', 'NNS'), ('amp', 'VBP'), ('boosters', 'NNS'), ('start', 'VBP'), ('bubble', 'VB'), ('up', 'RP'), ('capture', 'NN'), ('atta', 'RB'), ('now', 'RB'), ('more', 'RBR'), ('than', 'IN'), ('ever', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('media', 'NNS'), ('not', 'RB'), ('chase', 'VB'), ('next', 'JJ'), ('shinny', 'NN'), ('object', 'NN'), ('amp', 'NN'), ('focus', 'NN'), ('big', 'JJ'), ('picture', 'NN')]","['cautiously', 'watch', 'vaccine', 'war', 'play', 'pfizer', 'race', 'towards', 'full', 'fda', 'approval', 'hot', 'topic', 'like', 'covid', 'variant', 'amp', 'booster', 'start', 'bubble', 'capture', 'atta', 'ever', 'need', 'medium', 'not', 'chase', 'next', 'shinny', 'object', 'amp', 'focus', 'big', 'picture']",cautiously watch vaccine war play pfizer race towards full fda approval hot topic like covid variant amp booster start bubble capture atta ever need medium not chase next shinny object amp focus big picture,"{'neg': 0.077, 'neu': 0.766, 'pos': 0.157, 'compound': 0.4767}",0.4767,positive
ta potente la pfizer en el brazo,"[('the', 'DT'), ('pfizer', 'NN'), ('is', 'VBZ'), ('powerful', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('arm', 'NN')]","['pfizer', 'powerful', 'arm']",pfizer powerful arm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"barbara, please explain how moderna, pfizer, or johnson johnson vaccines are not technically vaccines. i really want know.","[('barbara', 'NN'), ('please', 'NN'), ('explain', 'VB'), ('how', 'WRB'), ('modern', 'JJ'), ('pfizer', 'NN'), ('or', 'CC'), ('johnson', 'NN'), ('johnson', 'NN'), ('vaccines', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('technically', 'RB'), ('vaccines', 'NNS'), ('i', 'VBP'), ('really', 'RB'), ('want', 'VBP'), ('know', 'NNS')]","['barbara', 'please', 'explain', 'modern', 'pfizer', 'johnson', 'johnson', 'vaccine', 'not', 'technically', 'vaccine', 'really', 'want', 'know']",barbara please explain modern pfizer johnson johnson vaccine not technically vaccine really want know,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.4391}",0.4391,negative
apparently my friends father passed away after getting his second pfizer dose. he was elderly cause was myocarditis or heart swelling.,"[('apparently', 'RB'), ('my', 'PRP$'), ('friends', 'NNS'), ('father', 'RBR'), ('passed', 'VBN'), ('away', 'RB'), ('after', 'IN'), ('getting', 'VBG'), ('his', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('dose', 'NN'), ('he', 'PRP'), ('was', 'VBD'), ('elderly', 'JJ'), ('cause', 'NN'), ('was', 'VBD'), ('myocarditis', 'NN'), ('or', 'CC'), ('heart', 'NN'), ('swelling', 'VBG')]","['apparently', 'friend', 'father', 'pass', 'away', 'get', 'second', 'pfizer', 'dose', 'elderly', 'cause', 'myocarditis', 'heart', 'swell']",apparently friend father pass away get second pfizer dose elderly cause myocarditis heart swell,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4767}",0.4767,negative
🙋‍♀️no side effects besides stiff arm either jab i had az first pfizer 2nd,"[('i', 'NN'), ('i', 'VBP'), ('no', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('besides', 'IN'), ('stiff', 'JJ'), ('arm', 'NN'), ('either', 'CC'), ('jab', 'NN'), ('i', 'NN'), ('had', 'VBD'), ('az', 'VBN'), ('first', 'JJ'), ('pfizer', 'NN'), ('and', 'CC')]","['side_effect', 'besides', 'stiff', 'arm', 'either', 'jab', 'first', 'pfizer']",side_effect besides stiff arm either jab first pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
guilty party not pushing vaccines can you elaborate that part so far we’ve seen positive outcomes w/ pfizer combatting delta variant but always open variable change scientific findings as new variants arise.,"[('guilty', 'JJ'), ('party', 'NN'), ('not', 'RB'), ('pushing', 'VBG'), ('vaccines', 'NNS'), ('can', 'MD'), ('you', 'PRP'), ('elaborate', 'VB'), ('that', 'IN'), ('part', 'NN'), ('so', 'RB'), ('far', 'RB'), ('we', 'PRP'), ('i', 'VBP'), ('ve', 'VBP'), ('seen', 'VBN'), ('positive', 'JJ'), ('outcomes', 'NNS'), ('i', 'JJ'), ('pfizer', 'VBP'), ('combatting', 'VBG'), ('delta', 'NN'), ('variant', 'NN'), ('but', 'CC'), ('always', 'RB'), ('open', 'JJ'), ('variable', 'JJ'), ('change', 'NN'), ('scientific', 'JJ'), ('findings', 'NNS'), ('as', 'IN'), ('new', 'JJ'), ('variants', 'NNS'), ('arise', 'VB')]","['guilty', 'party', 'not', 'push', 'vaccine', 'elaborate', 'part', 'far', 'see', 'positive', 'outcome', 'pfizer', 'combat', 'delta_variant', 'always', 'open', 'variable', 'change', 'scientific', 'finding', 'new', 'variant', 'arise']",guilty party not push vaccine elaborate part far see positive outcome pfizer combat delta_variant always open variable change scientific finding new variant arise,"{'neg': 0.054, 'neu': 0.827, 'pos': 0.118, 'compound': 0.3071}",0.3071,positive
#moderna or #pfizer,"[('modern', 'JJ'), ('or', 'CC'), ('pfizer', 'NN')]","['modern', 'pfizer']",modern pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
numerically better but trial only took place u.s. pfizer's was global,"[('numerically', 'RB'), ('better', 'RB'), ('but', 'CC'), ('trial', 'NN'), ('only', 'RB'), ('took', 'VBD'), ('place', 'NN'), ('u', 'NN'), ('i', 'NN'), ('pfizer', 'VBP'), ('i', 'NN'), ('was', 'VBD'), ('global', 'JJ')]","['numerically', 'well', 'trial', 'take', 'place', 'u', 'pfizer', 'global']",numerically well trial take place u pfizer global,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.2382}",0.2382,positive
